event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9b0a55cc-a596-4891-a600-e6b76421313a_000001,0742e5ea-44e6-480b-842d-e02369567e7a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000002,7a9fbd09-06bd-4bd8-a58e-b73ce4776e22,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000003,ee2332ae-d26e-4fd2-b311-f2be0ea83f93,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000004,41f50c2b-6bcd-4067-8c00-f2819ee4716d,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000005,04160d13-ec52-48b0-b536-54751a779884,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000006,48817782-0301-486a-99a9-bbaa0bcfcef7,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000007,c37805a7-3fbb-4568-bb0f-7b004964a6b2,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000008,85010d87-a588-45c4-906d-b961e11db83b,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000009,684be21e-37f5-4f10-8689-2998bbe46694,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000010,8709600f-f2c4-4984-844d-7983efe674d6,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000011,158b8dcb-354d-41e0-8c47-95bb412aae98,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000012,19e50795-8d58-4328-931d-45588f212a14,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000013,f396aad9-bee8-47b0-9f7f-9608ac7be563,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000014,97f1a758-d0a7-48b3-a671-540bb3ba791b,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000015,43758a94-b188-4d21-8da5-3f5b38667132,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000016,65c6a7c1-4d25-44d7-910d-7d5e10cb6105,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000017,769bcaa4-c926-46b0-9bb8-c6c563842c9b,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000018,e8b5ea53-7c5e-4d2f-8c6f-cbb23b161820,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000019,e6da89b7-4707-4495-81c8-acaf376756ab,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000020,19656d0e-555b-49db-8b4a-29dc2048dfe0,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000021,5ce92ba2-e63f-4be1-bb8f-30a8a5c6ee86,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000022,292c7715-eee9-4692-8f59-9685259e69de,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000023,b3b538ce-b2e7-40b0-87c8-00ca6a9008e3,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000024,747d4d10-aa75-4f68-bc48-a89a2daa17db,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000025,3633842d-d06d-49f1-8703-3f2c9e522e14,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000026,9a015d20-0613-4bb6-9006-1e708611206e,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000027,a0e0586d-97a7-48f5-8512-e9ce0745fcef,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000028,b8626d06-e8b2-49c0-926b-954a5d428256,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000029,c2d7d2d8-969d-4900-bdd7-fd7fdedfb856,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000030,d8d290e8-28b0-48c6-97c7-7e6de63af9e9,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000031,d2a48de0-b661-402c-95af-13731a5e6324,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000032,71921d99-ad93-405f-b6c4-169692964653,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000033,8c8bb2ca-81bd-4786-aa06-c6118d91653d,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000034,30e96e8e-0f38-43d5-93c9-51c7c0a1cdc8,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000035,469ef008-cb72-4a29-b3fb-d098a604724e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000036,da613337-5b69-455d-8284-fc1d323b324e,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000037,4223017a-0a93-4ed5-a63c-7162bf765146,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000038,3e93e554-8c06-4328-8c34-2d33314850ed,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000039,f945854c-3357-4e63-a61f-401247fac421,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
9b0a55cc-a596-4891-a600-e6b76421313a_000040,537a86e1-5f85-459e-8e64-6262a7cc20f9,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
