event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9b606108-ceaf-4447-ab27-f37fb764e76a_000001,80d24050-2db0-43a6-b76b-b47e239353c1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000002,dd7c16a0-c588-4d13-b3ee-bd5b4710b378,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000003,969d7b68-7fcf-400b-98e8-56196f4cbea9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000004,bc6d5bb4-8a89-4607-9621-25d89c7023d8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000005,1ba3ba46-c5f0-4cf5-a5ed-e595169fa937,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000006,5b8c6bc3-42d8-47c2-96f1-70787a00ef97,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000007,9da4f329-317d-439f-bdf9-6dbf0c8045be,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000008,ce8118db-7b7a-4e35-a6bd-89a81dfd574d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000009,fa8d30fa-f366-4f10-a957-178227f2932d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000010,3c19678b-6855-496f-b9dd-3bef3345162d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000011,219a6f5d-0a47-4245-a477-b913e13e334c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000012,8371432e-fa60-4ed1-b7e7-d11314dd7f84,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000013,3ade6e0d-dcac-42ac-9b17-7d549989f089,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000014,e0e8b0cd-2aa3-457d-9c32-4496c94df204,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000015,bc76ce74-521c-47a5-860f-67a145fdbdf3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000016,5213cd36-7a56-4114-a442-6eb43be2b6e1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000017,83cdecdc-06c9-4680-8bbc-8ce84b75bdb6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000018,67bdec4f-aa7b-45eb-9e8b-bfadd80a3961,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000019,41fb2d17-4088-4a16-b998-badcf70caac4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000020,a0b53ffc-5f51-4ada-a0cb-4784a5b7c9b3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000021,a8610494-be99-4acb-b379-d263c8c9b8cf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000022,e1a191e6-a422-4279-87d3-0c67c57e72c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000023,4f6fd77e-c3cf-4f62-8298-1642292411d0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000024,26571901-1a91-4a8b-a189-a3b77e03037c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000025,f3eedf88-5d3e-46fa-8863-c0a58b61606a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000026,f1e20933-4674-4342-8042-6b8e96f41a2b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000027,e66ca37d-f660-43a4-871e-bd3b79689d66,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000028,07935f80-8ac6-4a64-a9f2-0bf1de26e346,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000029,1a2b5719-b969-442b-965a-b42f4e9ff5af,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000030,395fbec3-61f4-4e50-bfb0-7665c564314c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000031,de6af0ce-a7fe-45ad-ba2b-c104027a4de0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000032,b4d9f26d-ae5d-4e81-a44c-769ad51865f2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000033,859f2482-58fa-4214-8360-3b51a7df18f9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000034,cb1e15d8-6d98-45db-868c-f9dcb7138444,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000035,e621e6b9-043a-4c53-b3b4-f1b48184fe3c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000036,cc168bee-b06c-45f6-87a5-e9b0bdf653cc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000037,0853032c-0a6b-449b-a05b-f5ceb3346529,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000038,3008b4f2-add5-43f3-8f8a-6e1c800bf207,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000039,b811aecf-8137-482d-bdbf-33b19e34d159,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000040,9ea5ea45-1646-426f-a082-640eb6e8f0c3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000041,b8334f32-97d5-4d6b-bce1-c4182d7107c2,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000042,4b06d277-ed82-4942-9cc5-43e44a67b435,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000043,3d37b749-13b5-4db5-8a36-b6c82cfbc644,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000044,85c6d80e-5bd2-4ff8-b38d-44064704dbd5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000045,46358456-c5b0-4131-b136-42b3dd953db6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000046,fb619c8e-d9a9-48fa-ae00-1d68bd981bce,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000047,00f5d9f8-6205-4c18-a17b-9c0e74e1ec06,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000048,b6394fa2-9939-4878-a94b-49a54290ef52,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000049,b00323e7-919d-49df-a2bf-d98a4c2e367a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000050,244e13aa-0062-4c5d-aa32-f69e5aa2044d,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000051,48ca7ef8-1e8c-4647-b0f3-1ef0d43eb1b5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000052,775810ef-3eb8-449f-83ab-9164f32c6a33,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000053,5fd73c72-0796-468f-b2cd-1bb13fcea3ee,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9b606108-ceaf-4447-ab27-f37fb764e76a_000054,4ddb5324-c65e-4331-b6df-ad4f720f7174,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
