event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9c2da302-c346-4eac-a140-59baa1b56f63_000001,f8009bab-597d-40ad-a471-137d24e3e4fb,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000002,73e36622-ea31-4ffc-b7c9-0988a4f56643,promotion,2025-01,21,11,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000003,74c431d2-0f24-40fd-9a8b-248d479a65fb,promotion,2025-01,16,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000004,816b79c7-b319-4b13-be20-9c822af1a6fe,promotion,2025-01,18,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000005,ac055483-1c5a-4b8b-8c2a-b11e0009e17e,promotion,2025-01,14,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000006,6cb6d623-50a4-46ad-9839-118a0d2febb2,promotion,2025-01,17,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000007,40912ba4-2ea1-4175-b37b-f0204016609e,promotion,2025-01,13,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000008,90533f13-e92b-4a02-bb20-fc3a85194f16,promotion,2025-01,11,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000009,ca5968da-9916-4985-ac49-61ee5d5b6dd3,promotion,2025-01,10,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000010,981f1f07-77ae-4425-9699-55079c0b26f3,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000011,9ceda84f-8404-4f0d-8a12-a1604368dc6c,promotion,2025-01,7,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000012,e422494d-1991-4251-b2f4-a41f7a2f4000,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000013,2a59206b-3a53-4c71-a231-95b80f64b958,promotion,2025-01,18,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
9c2da302-c346-4eac-a140-59baa1b56f63_000014,1759cf11-1637-4c6c-b4f6-66e899f8c892,promotion,2025-01,17,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
