event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000001,915e289a-acb3-4fa4-b5b8-1c53631e1931,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000002,26759946-3ab8-4378-8425-d3e0d9f28bdb,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000003,4ba96092-7321-4fe0-9b47-a012445cc1cf,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000004,6bcc30ef-b54f-4391-92c0-090494504c94,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000005,c5b2f0e7-a5a8-4cf3-944e-43d047e5481e,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000006,ba99b873-916f-4488-b25d-5ef551c1a82b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000007,3507d691-d405-4d68-b8ba-f5847b4e1025,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000008,98847e3c-6e29-409e-9d1c-f51875f7498e,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000009,5f23b42d-4657-4a62-b58a-e12e21e1ee35,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000010,411b93ba-1135-419d-a260-3e3e6f965e09,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000011,101ea1b7-b509-492d-b09d-cb8c9060c958,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000012,262ffc81-1383-49e9-9403-3b63d1ae4341,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000013,c28cf4ed-7b68-4385-9e6b-203f1827191f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000014,3213748b-82a5-4c79-be3e-88be7cdad3fd,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000015,6ddbfbae-e21e-47df-ae6b-22e27a6d7701,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000016,68767919-2fd2-4a53-9dc1-d3c75423e273,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000017,f1fcdfbf-5924-40df-a5b1-35a6b138f3bc,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000018,6aeeae5d-fb08-46ee-9661-4177b8d58aa2,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000019,9dec2d42-1a10-42d4-b974-5dedc678f627,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000020,3c9a64d5-4559-4695-830c-a4d54362e871,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
9e1d4964-88cb-4e95-b667-11c1c11ecb8c_000021,6e0fb521-37ca-4499-bb0d-1d9a04b6cd27,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
