event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000001,eb389893-2e42-4793-9826-86d20ab715b2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000002,3405b151-39e4-44e4-8653-bc19e514e6c2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000003,57d4ed00-0ce9-47e7-ad22-75aa083fd41d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000004,e4d70e18-b829-493b-b12d-4bc468db73e4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000005,d607a9c8-0202-426f-9702-89d3047a1faf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000006,5e7bcaa4-e0b2-4c09-8b82-b3fbcca40a82,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000007,9cb610d2-b1bf-4b62-8142-5f727cf13094,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000008,c712833d-5999-4131-896e-802f3413f880,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000009,47a106ad-9208-47af-b7b1-17ebd23698b4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000010,ea29cc57-acfe-4fff-8564-2ccc62a87886,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000011,9ebe3a7a-c9c1-42a3-ac99-fdfac0c7ef16,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000012,655bdbcf-51e6-4e6a-9a05-0173143a07d0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000013,9945a366-c25e-4a5f-9eb8-7f4cc1d0f6e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000014,25d866e3-f83a-4a30-846c-4193e9a6732b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000015,c45454c4-6e72-43ff-a29e-ede9d334e409,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000016,a0ec71ae-33e3-49c3-bc82-b5bad678fa49,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000017,c1aabca6-da48-453e-a412-115efb62debd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000018,4bd5a94a-9fa0-4d27-8299-85d57df8eba6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000019,5e08cf58-44a4-418d-b31b-728ada878856,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000020,24028e3e-7e3a-4836-9fc8-accb079be021,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000021,ef692a9b-6570-4401-94a5-d378e6e9ee4a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000022,23605b3d-22a9-4fce-ba4a-c7c1aa1d1ace,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000023,01b5507b-5688-4831-8419-1aa6935a1828,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000024,6e0cfa83-ef4b-4415-b3e4-b938e42d75bd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000025,b2d9db58-863e-4dac-9e5b-1b7b3eccbf77,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000026,1ea4771c-9764-4234-b52a-b6e568a9c41e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000027,200caf36-fe27-4605-bcbf-5c9bcdb1a01a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000028,05e6d8ea-7291-4292-a447-bb8865fa2378,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000029,cccae405-07a2-4b29-8eb4-3419c30c58de,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000030,202c70ef-4d3a-42f4-9ccf-733db67846c6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000031,81d2491e-22d4-4b93-b70b-535f5c64df3f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000032,561e42af-a1ce-407f-9ac8-5dbe0e640e4a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000033,69c407e1-ead2-4eb0-ac0b-1153985b8a47,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000034,fbcb2f8f-44fa-49af-be50-3e1066612a64,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000035,85efcd77-d45d-47f9-80b3-fff45a6bf2aa,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000036,f3a51ebe-e2f4-4a3d-a4c9-64ef7c221a8a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000037,c23d04ff-ad3d-467b-9ad5-7fb867c92da8,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000038,bdab7d8b-446b-4699-9cfd-612cb8e53789,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000039,b41f613d-e0a6-4b1a-b3f5-92a095a0f42b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000040,3de82198-365e-4b55-9e92-1728125f9283,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000041,cdfcd43c-6e5a-49fd-8c09-c59d399ff092,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000042,f5f60fcc-18e2-4c79-91a3-b91b728564df,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000043,d91299a8-7d16-4b96-8aed-ceb467a92c95,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000044,a0bb1bc3-04c9-4ce3-b514-a38d902d12dc,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000045,977b195f-ed46-453d-a8fb-4d386eac3f8c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000046,0f773edb-c8ae-486f-b9cd-416b01570eb0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000047,97ae52ff-8f22-49ed-bedf-37aa87d23862,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000048,d7ba4e46-f13b-48c5-b3f9-b5edecd8cbc9,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000049,0c0ec635-6ad5-4755-ab33-7fccd5089058,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000050,b2a6002d-22e3-4ab3-9ac4-acbfc79c915b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000051,6c7a7815-f492-4f78-82af-db1c3e380a69,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000052,91191d88-c926-492f-af53-c3650bfb738b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000053,deef364a-10cc-45ea-bc89-f18c73a93e28,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000054,7ed86890-c9d0-4849-a829-873063f10341,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000055,ec026a8f-70b7-45cf-9de1-b6845605ff88,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000056,c896e0e5-8705-486e-9b57-9cd8f0c91029,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000057,0d839a10-0af8-45c5-b2b6-ec54dd71c913,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000058,f381df61-7521-494f-a26d-2ac0e5e59903,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000059,a54ee83d-680b-4f9b-8f2e-041ec3f9497a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000060,93c21d52-b147-4aa6-885a-ac8cc935995c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000061,0a40a5f6-6cfb-4e0f-9835-ec98e9beeae0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000062,e8be0842-0d59-4485-820b-1cfbdba9f07c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000063,6d44dc7d-df9e-45b7-ade7-b959b0180599,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000064,30eb8ae0-9776-41ed-8843-c65b93e926d9,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000065,64f165de-3195-411f-a51f-6d930fd0f7e3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000066,a800798d-ce52-45b9-8628-e13684358e7e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000067,02f51666-06c9-4ba5-b8b8-f9db022cdb27,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000068,15ae1e69-4291-49b7-9224-5d936041e4c4,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000069,b974c585-67c0-4d73-a670-edbc5c5885b1,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000070,1d49c342-363e-4421-b606-b2e7b403a722,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000071,32647b2c-9278-4d82-b018-f481b5719064,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000072,9b8cbb0f-13ee-4085-9225-308ee5c67cf3,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000073,29824051-a4f4-427c-aa0c-46a08a3e2f6e,promotion,2025-1,24,24,C,Recruitment,Stockholm,C,SrC,CAT24,0.278,,
9ed444cc-0907-4560-8baf-c4db4ddfd8e2_000074,1f0ced3c-e731-40e7-8be6-a6959e8e4c86,promotion,2025-1,24,24,C,Recruitment,Stockholm,C,SrC,CAT24,0.278,,
