event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000001,641021b1-ad4e-4a30-9bed-71fbf9ccbe48,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000002,5041e177-4197-4fdf-94b9-fb0ee992cb73,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000003,fb4733cf-1a22-4d9a-8553-ff696b1f63e3,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000004,2348f0b6-6552-48e5-ade4-969f140a4f26,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000005,1402484a-e8b1-42dc-b4f4-30c884b3467e,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000006,d9f3528b-657b-4ceb-a823-c95eb372ab3a,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000007,b32a8932-c932-4525-90ac-a532dc22c376,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000008,aeb0e0a7-eb28-405b-bccb-e75f0bd1ad3d,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000009,2463c9ce-8861-4c2e-9466-84ba211ef496,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000010,20d5eaa6-1142-42f8-a41f-5be60958feca,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000011,151f0bc5-b280-4860-9820-c67fff2233ee,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000012,1cd25c89-eb4d-4c82-bdf8-54075520f5c6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000013,57cc31e9-4897-4d42-8b3d-bfe23caad625,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000014,ed8a2f3f-cb1a-4d06-8898-6e3f9aee37e7,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
a021c7c3-ca5f-428d-8819-4c2a8e3acd05_000015,680a02c8-b2d5-408d-b247-8b6af9446e42,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
