event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a2e3de73-5853-4992-89a8-7dd613edcb96_000001,ff7f7e99-5e6e-40e1-a7ef-0d1d8ba88670,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000002,e0479b2b-5033-437d-b633-20420aff7539,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000003,cd8f00e2-1068-47af-9f81-0a97d4e575ee,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000004,6996326b-aaab-48c9-b66b-48d0c8e67914,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000005,ee5a68a0-3fcb-424d-8787-e96627f56422,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000006,cb793775-7cc5-4d4d-aadf-ec0332dad2f6,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000007,ff666a74-c690-479c-9bd0-c9b11f1be08b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000008,14d09f4e-9e64-416d-bc4c-dc5e13b40d0e,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000009,ce96fecb-981f-4c56-bdfa-fcd40ce2eec9,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000010,2fcdced1-f476-493f-a7d2-ac7d00181bf9,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000011,5983bdec-d584-40b2-bc28-47ae9c21704e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000012,5a3664d2-f86a-48cf-8948-27d04812f326,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000013,b612b0c2-4f15-4776-b571-373cd1238592,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000014,0df4cc3d-14b6-4112-8ae9-c69cf0096065,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000015,d8310ebc-c9bc-4f7e-8a3f-e7f8bfdd0be1,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000016,e1a4f793-00c8-4999-856e-7de4d5a5e327,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000017,31eeb53f-69d4-4be0-a13d-722a539dd189,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000018,facaa717-3360-4b4b-9e86-cdf27febf428,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000019,510e5ece-c7c5-4faf-8773-0da6b4231940,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000020,87bbfd95-8bde-4ef9-b4b4-2e4f3e8fbc07,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000021,de314f36-1637-4262-b240-c8504c3c304f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000022,7c74f3e3-57ea-4805-b68c-1011c878d375,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000023,c12ddabf-c1ab-44d3-b526-ef2d3a0e3b10,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000024,72314b8b-aae3-4993-ae11-fde2c5ffe949,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000025,3ccc421b-eb9a-40ac-8b44-ad13e9b4be98,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000026,01f72254-19e2-48f2-9cf0-a3a2bed9600f,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000027,d3b2b7dc-22df-4359-9faa-a85583beb35e,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000028,7925f3ac-8804-47c3-997f-def587eda25c,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000029,89a2c0a2-72df-4740-a7b7-706b1bdfb490,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000030,31b1c30b-99d5-447c-9aa7-981eced63717,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000031,653d4c93-c117-4302-9a6d-b717462b1704,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000032,9a47bfbf-cdac-4c66-a67a-7991001b0d6e,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000033,8da11fa3-8d00-40eb-80dc-483d9bf60dd2,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000034,97c031fe-3422-46af-9ace-e5143128875e,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000035,1f5227ac-d23e-4044-9005-21f7db5c13df,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000036,9a78844a-b34e-4bcb-b11e-20d4a6659f99,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000037,d6ed13bb-649b-4ab0-9c9d-2c23f6e4e1ba,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000038,5704a25d-54dd-4bfc-8671-491c003a2889,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000039,74978095-9cdf-42b9-b8c7-d5fdbdacf2b3,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000040,4dbc32d5-512f-4c5d-a06e-eb0622de6cb5,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000041,92eedb0b-011f-424f-9e5f-75f5fb1df40c,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000042,08a5abd4-8fc7-41aa-82d4-7b36ca6268de,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000043,4bfa2292-9a08-48c9-9d73-682038b4e38c,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000044,5a46ca3c-0d97-4030-bb12-bb53d4bcfbe6,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000045,2b08bbce-23cd-4817-84ab-7e6748c92907,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000046,360abe21-ab5c-4960-934d-b8014df2f370,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000047,c068b1f7-ea7c-4e8a-9894-5ea0c570929b,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000048,ec5431d2-31ee-4acb-94d1-03dcd576b576,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
a2e3de73-5853-4992-89a8-7dd613edcb96_000049,3f296c9b-d703-4a36-9402-b3b6e0f1ed61,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
