event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000001,1a0e8ffd-d149-47b1-9861-f6add3389039,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000002,be3837fc-7761-455e-b014-6b8dcb4bc8e8,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000003,5a3003cf-46ce-4b48-95f4-03986f174358,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000004,bee91866-c024-4ecc-89d4-84dcb7e74b92,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000005,10e7693a-8a84-4c39-bc80-d55a5589131c,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000006,bd805148-273b-4e54-9e63-0ff4be11f24d,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000007,38ce783b-6ee1-493b-9931-03729e504212,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000008,257c2a01-1393-4b67-bc75-20ada3465392,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000009,a42bb488-4b6e-4c14-a003-a71794433f4a,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000010,2bc0ac8a-26ec-49f4-8aa4-13a02ba836ba,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000011,c76648ec-2d3a-4efd-b421-9578293e1d5d,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000012,8a0ffc6b-46a1-4e77-a1ca-d70f4eb21475,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000013,fde19d59-fc6f-42a5-9ad7-df3507761450,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000014,2474e516-0a44-436b-8f70-7ef5ccff8903,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000015,b6df3b7f-a990-4d79-8094-3766f3d01387,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000016,693fe36f-7194-445d-ba44-cd2feaa05899,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000017,67d51a86-53c3-44f2-9859-5a93a65da891,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000018,5f0937c1-cf94-4f3d-8dda-504c0da88d85,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000019,e3de0a62-d9a3-471b-a512-7b27635e2c0e,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000020,59345877-5339-412e-b81a-4162325a1d85,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000021,453010d1-7479-4843-b7ef-4c37864b7c31,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000022,f558f2a5-01df-459e-b319-8d5d2b68bae8,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000023,76ac802a-6ea5-4a44-9951-9cf819c1241e,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000024,3c11da33-9afa-4cc8-a11a-9a2b43ccf10f,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000025,13add6a8-b2cf-449c-a8bd-85170adbc0dd,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000026,c948df5a-8d3f-4e8e-bec9-aa999e37facd,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000027,edf3c3a4-b304-4b40-8568-6ed0a7cad4f1,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000028,2615c904-c221-48b0-8e7d-66ebef0f595f,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000029,23c2b9a7-f43b-4dae-9cd7-57ad330835c4,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000030,fcfef7e2-3487-453c-8f6f-0449acd5b7e0,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000031,02ab63fe-4027-42ab-87a8-b301f7a0270e,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000032,8997a91a-a5d7-437e-9d4d-858c2e3d0069,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000033,565d851b-1d59-4f12-8ec6-c27269496be3,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000034,b7e0d9e3-7a6b-4b8e-a89e-ef3918a4bf01,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000035,64d9f077-fa4a-4ae5-bb42-cf699545ba2a,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000036,35626b9b-b33b-42cc-8a7c-c65b31a4aa6e,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000037,c12242bb-36a1-4f6c-b670-fef6618a9a61,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000038,4e648b08-2713-4a90-a0d0-cfd6445bad52,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000039,e57c06ce-b067-4d28-8303-08f04dc61b2e,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000040,d4dbe5a8-9528-494c-a8f9-ba7f4db8344d,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000041,7dafcbc6-acb2-4f7e-b160-be17bd2a13a7,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000042,6b48366c-1021-4200-846b-ae52b908fb39,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000043,027876cd-97ed-4b6c-b132-35b9c7c1c42c,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000044,5c82964f-2a14-433c-9d71-3aa262a07b18,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000045,d12f9dc7-adf9-408f-9f9a-173ddec65a27,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000046,4301d0e0-cf98-4325-a737-96766ca63f33,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000047,7358723e-7dd1-406f-9239-7c7674ca7d21,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000048,cef10d26-5bc6-4be6-8d0c-5f25da1ff6db,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000049,cd48b69a-c611-4dd6-9513-ee687c4b8585,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000050,e55c51d0-b3c1-4ceb-b487-508943d4e179,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000051,f7347cde-6d4d-4ca3-ac37-ade0770a9ff4,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
a5ae0fb0-4268-4de3-bd14-6a3dd93418b1_000052,9739cd72-2bd3-4810-9788-b07c0233c45c,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
