event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a7c2752b-63f4-42e9-be8f-154d53f2d478_000001,ba4b0e4a-8c47-40c2-8237-cbf38df76bb4,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000002,9604857b-0bad-4fcc-b06c-fc8c435bcf36,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000003,9b5a438f-b54b-4444-b8a6-fccc189030ab,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000004,c6bee1a5-8555-4408-bea7-4eabc1fb1440,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000005,1924ec11-402f-4d92-ad82-53ab6d894d5e,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000006,9817d965-d845-4929-825d-48ddf6ad1076,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000007,b64b6f2a-910b-4ab1-8ff3-04e9fb714824,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000008,5e6afc50-5dd9-4c9c-9536-f541da867f98,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000009,35232a82-3d5a-4e86-a0c4-3e6d777d42b4,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
a7c2752b-63f4-42e9-be8f-154d53f2d478_000010,0f2bb1de-c9da-4640-8bd6-acd8d8d6b142,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
