event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000001,97ea1c26-65d8-45dd-bfaa-78ba5af0b400,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000002,85388cc5-816b-49c9-a52b-ce11f28837ec,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000003,6bdfc620-d685-4546-9f7b-4c0129da25bd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000004,f880e66e-7a91-4c5b-b43d-dd765fc7186a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000005,9a6bdd97-c792-43f3-a703-8ccd0ab083d5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000006,d4ca1a1c-d7f8-4ce4-bf46-768542b3ab2e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000007,7d4ea194-37d4-4042-8173-327318aadf84,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000008,f5e89eaf-b333-44e0-824e-eae5543c52f3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000009,369b363d-e3d7-433c-8ebb-f539f1f847dd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000010,8ab4d07b-92da-4d00-b22a-e720d3e5d42f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000011,0b71874f-7ae0-42c4-a941-cdad3e618469,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000012,08e824b5-c76f-4555-bb96-26ecd79f82a3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000013,ea8ca83a-b25d-42ae-bbd4-be46b7a7ccab,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000014,3e0de2b9-57b6-4e4f-ab5f-8a25f9513905,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000015,bd1fb3b3-0842-4148-91ec-8204383a1597,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000016,a34b33e9-e4db-4729-8e16-e57d4934a42c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000017,984b1e6b-a3ad-462f-802a-7933d64214d5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000018,6df84a0d-98ab-4497-a069-8d82f86e46e6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000019,4d5dbd04-05a5-405c-a796-75820051c88e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000020,f7f0d08a-6da1-4964-aad4-c9bdfb73f20f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000021,eb130d5c-8ec5-4fb1-8bb8-c22d27987715,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000022,0019568a-9663-4717-aba3-d05fb0a6b762,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
a7fd5fb6-b701-4d4f-b607-20a53d2dd903_000023,ec366c6d-bc4c-46c6-a614-c126aa38e773,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
