event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000001,d479c6f7-6fd5-49fa-a06d-0d31151bf10a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000002,47b77a32-82b0-4ced-9618-39754a242fd7,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000003,1baa693b-5f48-4388-8164-43514305ca61,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000004,f736fc0e-4bd6-47b1-93d5-eb38c2c7ff4f,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000005,1f13fbda-3a6e-4424-a581-aea286b88a9c,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000006,fcb1764b-c5c3-416b-9d13-506749e9ec3f,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000007,53d141d1-394e-4941-83b9-f22a3b1ebe16,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000008,c4edc242-8c96-420f-8411-7ffcff433b7e,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000009,d0ee13b5-5f56-4385-ab82-c4e6088bfea1,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000010,81107cb0-1b0e-4891-a03a-da44115cfb35,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000011,a1b2d21d-4b04-4ee7-a958-4e5b29a8d350,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000012,290dc4b0-8188-49b1-963a-022ca30e4ca1,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000013,3bd7351f-11a8-4948-b8de-08ed6ba80d7c,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000014,4acc89b1-3a3e-415b-be70-166dc10e11db,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000015,8ce0ff09-7c13-4939-b6f4-22ef10a16130,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000016,fbf9cf02-be78-40f4-bcda-54253c101aad,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000017,b370ddee-b8fa-4508-91fc-a1a43b45c8a6,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000018,6225eaed-5d66-42e8-9824-26315031ea0e,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000019,e9e9adbb-f1f0-4851-98b0-765a02733a7d,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000020,6056dcb8-20f7-4c36-8bc9-98738e086c71,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000021,a982ff9d-6bf3-4c68-9270-aff4e0572db8,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000022,ef1709c7-65d3-426d-919b-f62177904285,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000023,eea5b110-38b5-414c-8a72-3e8cdd0cffd2,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000024,64a2d1b6-7278-46b7-9a10-ce7584c614cf,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
a8aa9f39-3acb-461a-8ed2-9ab881fe3cef_000025,930a4c04-52b8-4321-9b3c-59bb8498a0fd,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
