event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000001,0bb74ae7-567d-4b56-92ee-95813dc3fee7,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000002,48d7ead3-fdbf-4c78-959f-18d41cf952a8,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000003,2f4eae7a-7e05-4109-a946-a85ae585588b,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000004,d5d1bf1a-bf53-48ac-95d7-ee1e934cf17d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000005,f402dfd1-038b-493a-87fc-54015e70cbf8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000006,113d4423-9a0c-48ea-b216-197bc76f2e09,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000007,1d98dad1-77c7-4238-927e-68465caf6f86,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000008,d0387ac0-8b63-4180-bc5c-655f3eb42bea,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000009,7fbdbf8a-876d-4479-9d82-9dc1e0228e5a,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000010,78e3d69c-0157-435d-b065-a5ff4f6cedfa,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000011,9c178f4e-f04b-4a00-9b31-505ff08da4f3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000012,3c503aa9-47d8-47f8-982d-e117c973622a,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
aa467f9a-9b98-4d24-a198-b62fcd6ca9fa_000013,7685e3db-34cc-475a-a1f1-82c6266ad3ce,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
