event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000001,30530654-67be-4d6e-884f-9cd542ca4b0e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000002,c0326d10-a212-474d-855c-829fab880167,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000003,762d68fe-46fe-4010-be00-f00b2b950780,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000004,0f057a2d-2123-4c0f-ab81-0f218e2b7f1c,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000005,162c5fd8-03f1-4707-b7b8-c57a2fe5fef8,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000006,955e0ee3-42d6-4def-85da-2cb3d2b84c2a,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000007,118e910a-3f95-4b66-a330-7b12c83f9178,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000008,6c4ca4b9-b592-4dcf-a0a9-d912adb16fe6,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000009,67c8f3d3-ed3d-49db-a087-a2a8f7906209,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000010,8d34b2a8-a963-48bc-8d00-8c8ee7328663,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000011,b6918a67-6ff3-4ee5-95b4-6cf309c6bb67,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000012,a4c88cc6-9325-4048-8e5f-e60f6a8aa83a,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000013,ddb5e1a6-081a-4055-b870-d29fce87753b,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000014,802e057b-6aa0-4851-ad43-cb3cb99e5333,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000015,2711eee2-6d96-46d4-ab1a-ceff20e12cd2,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000016,495f77cf-4365-49ec-8043-333e0cc8999b,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000017,0459ec8f-7488-47c2-a1b8-1dbd2a2cfd1d,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000018,65b08845-3bb6-4946-ae7e-2877a6427e26,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000019,78a0e9bd-4453-4ce7-8f1e-3012544f13a6,promotion,2025-1,128,30,M,Consultant,Stockholm,M,PiP,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000020,fe2b1135-6005-4936-9a68-be03cf9eaecc,promotion,2025-1,93,30,AM,Sales,Stockholm,AM,C,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000021,67b98fca-7215-4bdc-b329-ab4e8bd223ea,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000022,738f11c1-3816-4956-86e1-d0cf230f658a,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000023,0e1cdbc0-cd5c-44bd-8835-f3223528d003,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000024,501ca389-15cf-4d8c-a8d7-9fa855f7eca1,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.0198
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000025,9f077578-df0c-455a-bd4f-780cfb5e2ef8,churn,2025-1,92,27,AM,Consultant,Stockholm,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000026,9f90e322-a346-425e-8009-c39723fda71b,churn,2025-1,89,36,AM,Consultant,Stockholm,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000027,cbb67c8c-07e5-4271-a6a2-1e2ab380d298,churn,2025-1,24,7,C,Consultant,Stockholm,,,,,0.0219,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000028,a526ad04-34d2-418f-b749-593f25b7d824,churn,2025-1,30,15,C,Consultant,Stockholm,,,,,0.0219,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000029,ec985ff6-a4f5-4f69-a739-e920413f66d8,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0097
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000030,901f899f-f320-440d-8b3b-7ae913918dff,churn,2025-1,33,0,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000031,02d9c5fc-e885-4015-a9fb-1064f2d1bb9a,churn,2025-1,38,5,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000032,1eee0a31-b006-45fa-8bdd-7f5be2e8e0f8,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000033,254a2ea3-ac76-475f-9a53-48524eac6317,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000034,24c2f031-9b7e-4977-a0fe-93e6fecb71aa,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000035,7be932b2-29a4-42ec-bbad-36444709ba30,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000036,db1fbb18-ac2e-4043-9a6b-335075dee161,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000037,6758a842-1507-4e18-93b2-c21ad1e97910,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000038,6cf9e773-a498-487e-974e-56fdf3fea830,churn,2025-1,19,4,C,Consultant,Munich,,,,,0.0219,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000039,ca6606e9-6bc2-4f31-886b-bc89fa38d44d,churn,2025-1,46,4,SrC,Consultant,Munich,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000040,ee0e3cda-c944-4697-88d8-9eb8ff335d79,churn,2025-1,52,1,AM,Consultant,Munich,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000041,215a4391-b47e-4675-b2df-521d63606020,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000042,21c8201b-95b6-4c07-a73a-2b0dc68bbe0f,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000043,9fba3a97-0f7a-40bd-8808-0326602b8102,promotion,2025-1,96,36,AM,Consultant,Hamburg,AM,M,CAT36,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000044,aa4f1c88-acda-4838-8ca6-fa05f3dcacf0,promotion,2025-1,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000045,5d617f27-88d9-404f-a60b-a9bfd6b3bbc8,promotion,2025-1,141,44,M,Sales,Hamburg,M,SrM,CAT42,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000046,d2a191e7-0dfa-4224-a7b6-db9781d59602,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000047,dff69f9d-be28-472f-a798-6a7071ceea1e,promotion,2025-1,84,33,AM,Consultant,Helsinki,AM,M,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000048,63e386c1-d32e-4758-8814-8b28376347d0,promotion,2025-1,29,14,C,Consultant,Oslo,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000049,023c9f2b-40b2-42a1-949f-7496d8d7ce61,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000050,0a812432-6ec6-4314-a3f9-84bee11c3e0f,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000051,85859525-c0aa-4b48-85af-85ed515762c6,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000052,2961e00a-0b45-4b08-b6fe-50935947254b,churn,2025-2,1,1,A,Consultant,Stockholm,,,,,0.0073,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000053,3b446e72-f7ef-4026-bea7-77aef7250748,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000054,7878dbbd-7de0-4070-a4e1-7187f03c93fc,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000055,8797136f-7048-4c77-aebc-feade0abdee1,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000056,31eac8e8-1e68-41dc-806f-5662bd534561,churn,2025-2,16,8,AC,Consultant,Stockholm,,,,,0.0125,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000057,8be74288-d6b2-446a-862f-5f6fc60a5388,recruitment,2025-2,0,0,AC,Consultant,Stockholm,,,,,,0.0198
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000058,615e4701-ec3c-420f-bb6e-1cb0b32a4be0,churn,2025-2,63,12,AM,Consultant,Stockholm,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000059,2458da72-960d-482c-a738-be47f6efa4f3,churn,2025-2,76,4,AM,Consultant,Stockholm,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000060,8397402e-2130-4385-84f6-925c63995ddd,churn,2025-2,93,43,AM,Consultant,Stockholm,,,,,0.0164,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000061,3a074bd0-e6d3-44f7-8e15-10e65caeebba,churn,2025-2,23,8,C,Consultant,Stockholm,,,,,0.0219,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000062,6868bf1f-f118-40e4-8b44-e20b5bcdeeae,churn,2025-2,22,7,C,Consultant,Stockholm,,,,,0.0219,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000063,d0ac9aa1-9383-4ddc-9971-53eb5c6061cd,recruitment,2025-2,0,0,C,Consultant,Stockholm,,,,,,0.0097
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000064,2711eee2-6d96-46d4-ab1a-ceff20e12cd2,churn,2025-2,34,1,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000065,06912f2b-2564-4fe6-89d9-5d24e4f4860a,churn,2025-2,39,6,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000066,9e3e1192-0ed4-46d8-84a9-d91f6deace93,churn,2025-2,51,12,SrC,Consultant,Stockholm,,,,,0.0201,
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000067,8e0e5351-f47c-46d8-ace0-b51ece0638d7,recruitment,2025-2,0,0,A,Consultant,Munich,,,,,,0.0505
ab2fb395-c7c9-4c98-8ffc-f1a8176217ef_000068,fa4f5629-f0fa-49f2-9877-2f9822a4448c,recruitment,2025-2,0,0,AC,Consultant,Munich,,,,,,0.0198
