event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
adbbde22-d2ec-451b-8931-50678fe0230b_000001,41995aa2-8a22-49fb-b45f-ff9a361d96cf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000002,5eaef216-4e2d-4ab1-a61e-e4cb278877e3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000003,d2836e2b-62b9-4d7b-9ee2-555fceb15157,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000004,5c483e13-39b4-4526-9164-9eb51c61bb7e,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000005,fd3edf88-4bc2-494b-ba45-9fa60edb52bf,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000006,6e73a77b-64c2-400d-9306-f05d9d1e50ef,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000007,febfc94c-ba1f-4795-b299-99de21eea5d7,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000008,1cbd2754-c61e-4b4e-9c98-2be9b60028e4,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000009,cc631d34-69c6-40ab-91e0-4ade86fcd170,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000010,132a86a6-7dbc-40bc-ba6d-b49f1bd9b9c5,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000011,af2712a2-765d-453f-aedb-b39a5e873e9b,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000012,7f3b06b0-c179-4143-8f17-c548984266be,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000013,b025fbf8-a14c-4c32-a59b-b7c2a5cbd139,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000014,41e760e3-59fd-45db-8453-3e6e745c7fd5,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000015,d268b709-6daf-4a34-8725-543a2232e1c9,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000016,980e882c-ae57-4e88-8a2d-e7e18ce578d0,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000017,44884d1d-8372-4890-851e-3373850668ef,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000018,fd5a9ec9-cc11-46a8-8c3c-33a2ab187a99,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000019,3d0bbf91-66c4-40ad-b4b5-120b0a40899f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000020,eff37496-43c5-48a0-87b8-9182bfdc4a7d,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000021,8cfb9676-ab18-4f7d-baab-cca4f6806380,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000022,0a97aa6f-8305-4d04-9f47-29f2342e8f24,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000023,738ababc-d379-4d66-9c51-39b9a968816f,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000024,dd259aaf-53ee-43fa-b581-f76d5deb39ba,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000025,c473df26-e809-4aee-a0eb-a4205a9d3581,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000026,bc681cc7-9615-4cec-b3c9-5921e5c7f9b3,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000027,c23b89de-7933-4d55-ac7a-c60b2a207868,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000028,381f83ec-6fab-4bfc-8a86-30f5e1838ef2,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000029,49bbb08e-d074-4c7a-88a6-253580c5b853,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000030,6ea846df-c2f4-432e-acf8-a21a1afc942b,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000031,c5ecbb41-2ff3-49b4-b567-26a957129e11,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000032,feec9dd8-a011-4f86-9db3-f22851c4f104,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
adbbde22-d2ec-451b-8931-50678fe0230b_000033,d890d25a-156a-4994-a595-5ac863abafcc,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
