event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000001,88554229-b2f9-4991-9e6f-53603c9d2bd6,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000002,6e757a52-f726-4476-ad06-b544999dfd80,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000003,5fa5cb3f-62ed-48ff-a041-1ea84bfc2981,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000004,d0745406-912b-4170-8dae-eb5cf0be5d24,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000005,fa2153c8-1758-455f-ae03-ea51f44b8246,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000006,e7e1e1fe-2a1f-41de-a03f-c6739bf2ee50,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000007,7114cc48-3713-4207-a85e-a3ef0a6cf26f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000008,df1512e7-15f4-4062-b86a-64732296abdd,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000009,eab7eb1c-7718-4537-9456-df542b9ce211,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
aeb21d38-eb38-4cd0-a101-7821c5edf5f5_000010,0b9185a9-14c5-4813-b1f0-edbf547f7e95,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
