event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
af679174-f029-4fae-ac94-e2f8d26eecb8_000001,73cd605b-9eda-417f-acf0-f803faf57dcc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000002,67fd2d66-8fd0-4112-98ff-b44a8455ff8b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000003,777b864d-4703-439b-84f9-56446bb37358,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000004,69820ce3-4366-4ea4-8fe7-b0dba6774363,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000005,773f15d5-c23e-4f61-a2f7-706936f637e7,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000006,b9307479-ca7e-4418-adda-4ee3df883f2b,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000007,9e21a37a-a6b6-4072-98e2-59cd91dfc8b4,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000008,e1ce343a-37b4-47ba-9907-8ac70748eaa8,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000009,ffc09d9e-315c-4951-8fcc-66f92ede09cb,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000010,feb63563-6a24-4939-94b1-cea1f9296bd0,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000011,67fd37de-ff76-4fdb-a9a9-61b09572d035,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000012,bfa0885f-caa0-4481-b8e6-e4e50ff12969,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000013,d2e7958f-b8bc-499c-aceb-da83f9fcdb95,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000014,90d3f600-2c1c-4017-ba03-282080dfb737,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000015,e237dbf6-fa74-4186-adbf-855fe84d9334,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000016,bfa2375b-90cb-4a5b-96ae-73b1d951aaac,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000017,6e695613-0c6d-4fc8-8f73-8bc968b51f12,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000018,9e53980f-a9c6-42b6-8acb-55098e7d45b3,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000019,49b93067-f037-4c28-a8be-1728fc9d8d0a,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000020,a83b6928-2a94-4c63-8e18-0280d637c892,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
af679174-f029-4fae-ac94-e2f8d26eecb8_000021,f772f08b-ab23-40fd-8a82-eaaab99ee330,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
