event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
b5aca9fd-ee33-4976-ba31-061a270c3faf_000001,a2f4fd65-e408-4b7e-a743-ef37dfb29a17,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000002,d9c9453c-06a9-49f1-90cb-1e1699ec4311,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000003,5023e59d-74d2-47d7-84b4-a36a8c1204f1,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000004,35f5cd42-769e-42f2-8b95-2012b964c21a,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000005,c572255e-4e13-4fc0-9767-5ef8a3e56100,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000006,465601c5-2977-408c-8a1c-4aec1e6bddc0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000007,95a26a76-2778-48ff-b4f2-5fcc692114ea,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000008,0ef39c51-45a2-4ba3-85be-c1cf8118a087,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000009,03d12400-4c41-4f2f-96a0-5b8b3c9f0928,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000010,66e45f4e-b280-4c29-a790-2e4677f61362,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000011,88d83663-ed98-40f1-b6c5-bcdff7dc174d,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000012,4f209b1c-8018-429c-acfb-2a1c759734cd,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
b5aca9fd-ee33-4976-ba31-061a270c3faf_000013,4f14323c-ac1f-469f-aa53-0e0319a39c6d,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
