event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
b83e3829-5284-4dc5-8343-a364dc1785db_000001,f5dfb33f-593c-4cd4-814f-68a9edebcffa,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000002,76969b48-2f85-43ea-9d2d-3196fa68f366,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000003,6b2d2a80-79d0-48c4-bc1b-1354ee4a4841,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000004,b7f9fa07-9928-423d-a3aa-c92666d4c432,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000005,08c34d70-0b23-4775-92a4-2936b10f9a96,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000006,f5f4483c-cf4e-4b90-bb9e-b7c9c6141bba,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000007,5c307e15-7a9c-4b7f-9082-a0281c3661d8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000008,7cfe496a-c48f-4e71-9ca2-71e2c3232c59,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000009,639d831f-e87c-4f8c-b75d-3d612efc7369,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000010,d080fc1c-660e-4b15-8b7e-58502ccd4fa1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000011,5aa8174e-938a-4d06-a3f9-ccb92e547e6d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000012,cbad820c-875b-4911-881d-297e9adee9dc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000013,64f07bc5-d57a-497f-9990-b2f17d3bc0e3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000014,77325179-65b0-4411-914c-0ce4df852f85,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000015,1ddb006a-a89a-495b-85d5-008c4f7a0a30,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000016,460f1617-4388-4f00-83b3-19b5ee1ca4fd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000017,9dfc3cce-1025-4d52-88a8-07cbaf40b3b7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000018,98334d96-6ffe-43c7-8afd-38c8fd47a9ba,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000019,6299536d-cb1a-47eb-923b-a300bcb4d732,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000020,55e59277-4c5c-4cf7-a669-ba45979bec41,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000021,5c89273c-c2a7-422d-b370-126dff0fb00e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000022,033eb7b1-1e32-4c70-b182-0bf9157576ca,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000023,c241af9b-e867-47f5-96b8-61529c15cbbd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000024,81c72bea-91a1-44fc-b4fd-791022c3d9ea,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000025,7e5529ef-db7e-4123-81d3-a5b7b1e64536,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000026,57e97898-b58e-41a8-bd6b-08eea727c838,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000027,687d596a-acd8-4628-89b8-e5ca11cb8a94,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000028,cef15d9e-761a-4d98-8808-0662aca222f0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000029,c673f0b1-c8f5-42ea-aba6-8def063edf29,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000030,e72ae10b-e99e-41c2-8d2a-f1ad42ea9d5e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000031,01b84681-244e-426b-aa3d-99c914abf4d2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000032,37d00604-db04-4f1e-a6c5-ea139493e702,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000033,cee81c94-59a5-44fa-9226-4ce9eb29e8c9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000034,f6a3d12a-0d7d-40d9-889e-5da56bcb0f11,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000035,31d2ec41-c94c-444c-8df6-cc6a14f597c2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000036,98d46a24-ac01-4f89-9cf0-d9702af59877,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000037,30326958-f371-4150-91c2-74a893705d1c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000038,d331cecb-871c-407d-9089-befd91ad1a79,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
b83e3829-5284-4dc5-8343-a364dc1785db_000039,99f86952-535e-4e4a-87f6-598e9eeb1a76,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000040,2f0a22f8-d522-4fcf-afa7-62b4b3f31f28,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000041,5635d300-13f5-4dc6-987c-7b3a1b286bf5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000042,8db1be72-397a-4cba-805a-ed2c7df9a740,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000043,0f7d3094-bc0d-4c15-a203-9289654addac,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000044,cc7fc0b3-110a-41ed-bbeb-3b4b07f32400,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000045,e596fbf8-34c8-4fa7-a828-ca1e14193cdb,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000046,5db23cd7-b5aa-4b3c-985f-f74727bcf89e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000047,0832c320-3fdc-49db-a4ff-5511009b3dd4,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000048,d20d1ba1-dec0-48a1-bb43-8803294501a2,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000049,7a2714ab-1ae0-4d54-ac0b-04c3421b7f07,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000050,1556d4d2-1da0-4d40-8b9c-44ff78ed515d,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000051,dd3f54d9-e583-4774-97d6-8c4bbde1361f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000052,4fba490d-9a31-4541-80cf-2e2fe03cfa41,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000053,5d346e69-3643-4fd9-958e-d2648126d707,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000054,81b6e691-7263-4cf4-a2a8-db23d90d94be,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000055,3ace8ab8-0522-4ed5-b1ce-869e83ba910b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000056,66d1bed5-420c-4878-8c15-49db15c27213,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000057,e5e864c5-3c9d-46d0-8234-289c02957feb,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000058,94973cf1-4a4d-438d-95b8-8c1b567e0076,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000059,ba22aff9-7888-4089-b65c-3ef86333c153,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000060,eaa77a38-39da-4501-bbfb-7d2a0e033e6e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000061,55b0424e-7605-49aa-9f37-a8396afec8ec,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000062,ef8081f8-de02-4e58-8234-80b157a25c32,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000063,d0647124-f0a7-488b-90bf-03febf43732f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
b83e3829-5284-4dc5-8343-a364dc1785db_000064,e6ab80ac-0340-461a-b2dc-6b64e58732f8,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
