event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000001,f81fb390-2cc1-4a50-8e92-30cc2c74b381,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000002,bfb4e7dd-ece7-4c10-af83-307d66542c55,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000003,bc17542f-e1c6-4744-8da5-af64a013784c,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000004,2f88465a-b544-4e02-9e78-b60b47ff2806,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000005,7be54b74-6551-4934-a777-8eaa33a9e2bc,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000006,a1a48089-51c9-48f7-9c8b-3b09c148a390,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000007,672c0278-f97e-4620-8da7-714019e15303,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000008,a3d884d4-d2cf-461b-a166-557a7a6a8df4,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000009,61466032-3b0d-412c-8cba-0df54ba5a8ac,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000010,389a0265-219f-4006-8ea1-0a96c8a51a83,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000011,7e3c09f9-ac72-4785-b597-60caa4bcc49a,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000012,dabe68ab-7f8f-481e-8846-6e845b10d82e,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000013,46552c39-fc32-4609-8f0f-3bc6e0cdff4d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000014,c90601d8-bfbb-4136-8fa4-ae8cb363246e,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000015,21989bd4-89cd-462e-a8d5-715f889c601e,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000016,14068795-cc04-4c3f-9777-a8b35e5e68c3,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000017,e77b327e-8170-407a-ab83-de4f1a8bad55,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000018,33fdc69d-4c5f-4f84-bdd5-ec3805136712,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000019,1766ed15-3433-492b-9fc9-3abfa37984e3,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000020,d9a1b2a4-78fa-4654-bf55-c80f837a2c8f,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000021,31039a78-62da-47b3-b512-ff403422e79f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000022,932e9a38-bdd6-424a-8e21-4bbd258202eb,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000023,f7467c74-397f-43e2-8fa6-24057e74a21e,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000024,33397611-7d0d-491b-90f3-6194e1d42d0c,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000025,c284b417-0c27-49d7-aa3e-6af168816443,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000026,17137a7d-5a9d-4df1-ba2a-382b0cb94bb1,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000027,2f85df0f-56cf-4b75-9eb8-d0ae04f4dabc,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000028,8c179a0f-7851-449d-a4af-acb7d72f73dc,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000029,11287b9b-978d-4ec7-aace-1acb9d9efadb,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000030,49382729-73cb-428e-b82b-df2135ced0f5,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000031,8966e7ad-2dff-4662-bfd5-0f411be66cae,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000032,ebb8d3c4-f19e-4728-ba10-86709fd5aff3,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000033,ad535c74-b4c0-404e-94b2-50c40acd0d37,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000034,ab878b23-e80c-4d68-a6ce-cf82b07d0c8f,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000035,c50f0d05-412d-4bc7-add8-6327efb0e0bd,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000036,11b6441e-b2c8-4893-a45b-7bde79d6d976,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000037,076765e0-424f-4d6c-8199-516a28142a77,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000038,1a88b596-c34f-495e-bed7-a41b2b90fa75,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b92ce8fe-1e9e-43c3-b655-5318c5b83d0e_000039,1f304b19-8dc3-4609-81e4-9dd22ebadb15,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
