event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
b9b382db-0b93-4bba-8876-a517527d68ae_000001,c5d1b522-c616-4c72-b659-cf1ac93b07bd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000002,a3634e40-a76f-4240-a6fd-b47ebbc44f2a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000003,71622b28-3680-45f8-805b-c8b6be5d0d5e,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000004,cdebb5f9-3ffd-44e8-b303-6f49bae5b0fd,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000005,58e93e5f-fad7-49fa-87f1-3cbc19678e7f,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000006,a1a30159-43d1-424b-88dd-9c0fc99563ac,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000007,b6c0421f-affd-4286-ad86-1c88de0ce8d7,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000008,087e7b86-204e-4ac2-8259-42798527bc82,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000009,6f759c1e-b70b-4efa-97de-fe4d1296ecfe,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000010,ca704d25-a9ab-4657-994c-5665d4d2692b,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000011,d1ba505c-9953-4504-a19f-f6f4b9642d9e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000012,669e64af-d2ac-4ed5-84e8-a5865af90f7f,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000013,19af5498-875c-4fa6-b5bc-33185623195d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000014,a888c6b3-cc51-45c4-9e08-ca896001973f,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000015,f7ab29c3-751c-412c-a9e4-e94457d9cb83,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000016,2b40bf68-1703-4e12-8817-d4ad0c5a05ec,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000017,bb06e9b1-0eb6-411a-8af6-dab90d163138,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000018,6ccf65dc-9c0b-4fa7-afaa-cce17db3b849,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000019,dfd8fc67-8e65-4fca-a7f3-537bcd9e29bc,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000020,34a30842-4869-4a31-9293-dbe9961d7074,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000021,1a8d0d2b-f1e2-46e7-a263-a2d14747fc5b,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000022,2b48295b-14da-4304-8ed3-e9fbe832ec50,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000023,15228be0-fed7-4414-85d1-94281af55bfa,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000024,7bc8b040-a4a8-4599-8ad4-bd3b3eb29cc1,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000025,9f6b98b7-ca3b-4834-b1b9-43dae8d75969,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000026,e890fed1-81f9-4b1d-a96f-0e005148f61d,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000027,b3e9884d-03e8-4a77-a6c2-6f13d9a19401,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000028,611c8a6e-a218-4b1a-a745-b397f22d9490,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000029,f29cef00-cfef-44fd-8e1b-282cc807e4a0,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
b9b382db-0b93-4bba-8876-a517527d68ae_000030,394121c5-8749-4c9f-bf20-526e1d22b52e,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
