event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000001,1c75acd1-4d85-4425-b4af-5708e55b6587,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000002,6531b1be-120c-4b2d-a1f0-c8a31a5397ca,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000003,e14e31ce-a5fd-41b3-8828-f59aa0aa9fa8,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000004,ec12600c-0333-4208-bb6e-9597925c29b2,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000005,de7dbef2-dda3-4df2-9534-77baf8aad457,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000006,ab5d4c31-801b-4ebd-a9cc-b5bcdf68a607,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000007,3f3a7dbf-f07d-4dfb-8842-bef8d22e1cb8,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000008,c7fd1be9-4a78-44ba-b8d2-a3893bf0cc15,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000009,f2b03600-2d03-44ea-bb65-370eb6c429a8,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000010,20228a18-1bbd-4b4c-8ba7-e992baeb7472,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000011,3615a204-fcfd-4830-9a06-2f14d740c6ff,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000012,e68fc2ab-3d74-4a2b-ae0d-71317a6f3038,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000013,8cf0144b-8388-4a1e-9bc4-e0a175d1839b,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000014,54e85973-d35b-4278-8b9a-e5eace705b4f,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
ba53eb4b-a6a5-4538-ab7e-f62297f58830_000015,355afb54-e97b-4d39-adec-ee2a0d2abfc1,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
