event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000001,5e132a9f-d5f9-4f72-85b9-67584db5c008,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000002,a17c0a6e-80db-4704-8333-1d8c441edd3d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000003,0b8665b8-d44c-450e-90ab-35656902858d,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000004,8d4b9f84-dd8c-4c65-86f5-85bc0ecfb590,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000005,ace038bf-b910-4460-b154-3f9c518777e5,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000006,c38300c5-3e54-4279-b1b5-42a94e7e5dac,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000007,c133de56-df79-4904-ba0b-d89bd8942e4d,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000008,f330811d-07de-4908-9358-92b84d211e11,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000009,3b44acbf-eeb5-4112-823b-8dc0d98f2d1e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000010,343376ea-a63d-4b82-959d-6efc0270e1db,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000011,cb059162-7e5a-45a0-adbe-f5f9d81244ff,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000012,a706aaa0-3610-4832-ab6a-3a55cec10328,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000013,3e32e9ef-704e-49c0-8521-84fd2bc2faa3,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000014,4e6b2d50-790a-483f-aad7-f18d955fb89c,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000015,e95f5167-6bff-4b75-8744-482643e57f85,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000016,4f8eca9c-185f-4ebe-bad6-9d0271391288,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000017,84917b2d-1a55-4d27-a5bb-784d69eb1baf,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000018,52d5eb68-f5ca-4c1d-869e-a36f7b9762ac,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000019,a65848ef-c774-4937-8fe5-b738440a0242,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000020,c5d89d00-256b-43bf-b2ed-c753a254f80e,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000021,0abf257a-392d-4879-9aa3-6bd8ea6dc98b,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000022,0bce2a8a-43a2-4f3e-801f-40ec2d50af9b,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000023,3a621403-191b-476b-b649-fd6f1cea9742,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000024,37ff5c2a-30d4-4c36-9418-d5bdd5673a4b,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000025,fac35645-821c-49c4-b689-178e30c97960,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000026,78d60f82-1314-4b2c-8405-5ae22a32994e,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000027,404ad1c8-4b78-419b-8022-7018eccf8a3f,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000028,c9fbdf88-59da-4576-ab38-e6a3cd07674f,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000029,23611161-0ceb-448f-b467-64bc02346604,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
bb561564-5a9e-4e9a-8331-c8ebdd4c1252_000030,0e7ffde2-6291-40ca-b748-909b85073949,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
