event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
bd126458-7a9e-4509-a648-cd9d6fde0add_000001,1a216b3e-8160-4140-b9d2-05032a583d00,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000002,2ee8fb03-4a3c-4842-8b10-65258b108502,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000003,3ab4a422-088e-475f-ba9c-eec4e788d935,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000004,0967433f-c27e-4649-95e6-069fb72f40f4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000005,d4fca50b-1760-43a4-adee-36ea00a903a0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000006,49f75c5b-ef08-4a36-9e91-33aa6f823a1f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000007,fcc4c97f-c76b-4e95-888d-c5ef9d20fce2,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000008,4fb92ee0-4487-47e6-95a6-07b09c50201f,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000009,919e1503-7392-4d59-8e10-040f52b29d17,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000010,454884ba-c4fd-4906-81ff-24972bcdb7d5,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000011,fba555a2-e888-4c8c-b1a2-034b3df8c48a,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000012,f61a1191-2b33-4015-a8f5-8a21d944e28f,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
bd126458-7a9e-4509-a648-cd9d6fde0add_000013,a7e9944a-b674-4df7-bd8e-1befc2369c60,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
