event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000001,f4794ca9-9f6f-4468-bd62-ea3879e87475,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000002,3f6f21b1-fb87-4265-bdc3-bd405ed65bf3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000003,b4f70dd1-e162-44bd-a84c-4c20fed9da15,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000004,8565a9ad-26a4-4bdd-909f-f3071d172abc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000005,c0622ad5-7695-47ea-81f3-bc8cb8362987,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000006,f2197740-d1f4-474a-bae3-47411b75eb8e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000007,33ac4803-0524-4157-9aac-d72b83ffcbfa,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000008,6d0414b5-c775-4294-a264-f2e45e23f277,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000009,b10755b0-33dc-4e18-9aff-5654c5481acb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000010,5391cf8f-04c9-4317-b2ce-aa252f4c076f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000011,0e00eb56-e2ab-40d0-996a-96dc1f983896,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000012,a7b395a9-6e7e-4348-a2e4-19a7fca4fead,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000013,e5bad877-e8a7-4abd-9fe7-1c3456402308,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000014,ce829706-f8d7-4c86-a65c-5c54ce9f5a15,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000015,f0c851a4-c6fb-4623-a4f0-d9578219b146,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000016,2479fe90-16f3-49a7-95bb-cd8fc6eb68a0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000017,dc86c4db-cd16-4b72-8feb-4271f1d3ba49,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000018,b0a43ec0-4925-4c38-bb7a-4164d943b8cf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000019,43979916-bfa6-4c6b-9995-b42420ee6b4e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000020,eef6c68a-ffe7-49f4-a7e0-88ffb643af78,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000021,9717dd79-031e-49d0-b524-dcd8f6661cc5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000022,be2d7707-a462-4578-a70d-b93d40b5d5ff,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000023,49ad6f7d-b991-425a-a04d-e7a882e65326,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000024,e5920657-03e4-427c-9adf-b7241804d380,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000025,4a786994-ec16-4514-9fbf-3a08d3f5bc42,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000026,c8e07967-2fe7-4a92-9320-6c4af796393e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000027,a3129de2-2a71-47d0-9970-bc93e16879f3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000028,203080fc-40df-46c7-9ce2-62a912008f2c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000029,81b8a5f2-90d6-45b1-93bc-6af28b97fad1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000030,501fc77d-8d69-4f33-8cc6-0edc08dce370,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000031,525d364f-41d8-413d-9c40-9a0f57304f17,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000032,57ca646f-d0d5-439d-ba73-a55515b0a60b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000033,91972465-9f2a-47c5-a4bb-c5732e7a234c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000034,4f8fa869-d2c6-469c-bc2d-e0a5e87e12d9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
becdefc5-86c3-40b8-8d6b-f3ad24ae85a2_000035,58b5421e-2048-4acd-a6c4-a03ec9bcefc1,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
