event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c0f4648d-99f0-4db1-b541-d538ff9722b4_000001,d4036c33-62c7-4a05-b477-ff4955873895,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000002,aaf865ce-b03f-4e6d-9231-f1bf8e3375da,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000003,aa718390-fe0f-4ced-a0f9-4ac2eaac320d,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000004,0c141f34-ece4-4bc1-8189-0f4a2ccf1d93,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000005,92e73c3e-c92e-404a-95ae-ab1645d85009,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000006,ffbaf7f9-d8d7-424e-ac7c-f78a08039944,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000007,78152b8b-e3cc-4040-9df6-32457f7d62d6,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000008,ccfb7b6a-d4a6-45e0-a2ef-2d80d9fdc372,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000009,b6a46da9-4222-443d-9eb1-272943163b9c,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000010,1fab076d-67ba-4778-be28-ae0c1096d571,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000011,7b36d5ad-fdac-40a7-85c3-1cfdc3bcb357,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000012,b3a4d76e-683a-4e7a-8851-d950c26f900b,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
c0f4648d-99f0-4db1-b541-d538ff9722b4_000013,bdf9e75b-7eb3-4bc1-ac1c-d59d2e4eb590,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
