event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c0f86b5f-81ab-4038-a5ac-25978d108c07_000001,9394d0b4-97fd-4a2f-b651-e0170da93c2a,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000002,dcf08e9d-5934-4f2c-966c-17d6b1352077,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000003,740f2bb3-f781-4bce-8ace-8f16cc2a0f65,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000004,c92b4627-f0d5-4422-9ef6-ebfb069b88b9,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000005,4c8e9dac-e0d1-413e-ad38-52a54c570463,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000006,2e0ea777-f350-4013-b060-7f7b1cfbee37,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000007,c8a1b9de-4fb3-4a24-ba9e-ed4b3c0d3443,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000008,37e54d31-fd02-415b-b3d1-ed60a88c9947,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000009,116d7d2f-33dc-4a57-a07e-9854b15062b2,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000010,12bc6a3b-0846-4c9e-8137-7b9e37aa6926,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000011,f1ea3de8-b124-49ed-945b-0a720abfbf99,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000012,afbd2342-6510-466d-a178-b78472972080,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000013,25ca80d2-25a7-499f-8df3-e9c5816fd20c,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000014,a2ffe1ac-b79e-4b2f-bdc5-0d15926ddf5f,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000015,a85468db-94a7-4dc4-b976-1eea4b1f09c8,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000016,6ce38555-3c5f-497f-b8a5-7b61e425f435,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000017,469dc56d-a89b-4371-8dfa-64a2ad8334ba,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000018,20106e6d-3470-4328-8165-da4e6de1bfb5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000019,8c5dadbd-779b-4de8-9d86-68b10478132a,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000020,1898f67d-f824-40d1-8fed-7676aaf73ae2,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000021,82eba14b-d26b-410d-9e5f-aa94657d3c19,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000022,71734f1d-3a1f-43f3-b88f-894d53f7c524,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000023,e2edcc45-a481-44b1-89ac-1032779130e5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000024,ed15c649-5c7a-4175-8c6e-abb2be7eea4c,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000025,2c6a210e-cea2-4a81-b8fd-ee5cca1ea2be,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
c0f86b5f-81ab-4038-a5ac-25978d108c07_000026,8e2b1e14-6b91-4c87-ab2d-a24c77d2bceb,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
