event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c1cde3e4-da8b-44d5-9692-ea490c817754_000001,e600dce0-04a8-42e3-b2f2-89538fa97e39,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000002,e24d5733-2a0d-427f-bc78-e62ae8cf1d86,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000003,47be306e-11c6-4eca-9473-46085010337f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000004,b29c7134-b316-41dd-a41c-b151fe923573,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000005,cb478377-b6b4-424d-a3f7-f374a745bb78,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000006,0366c916-39e0-4e27-847e-add500c6cad8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000007,9c904548-338c-4e90-a47f-3bab05880a18,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000008,535cddc7-ee8a-4e5c-bf7d-3eb4d4c6bb51,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000009,32ec72e6-15c7-4f41-a37b-fe1ffdff93c3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000010,556e1a4e-1b82-488f-b69d-55c48d5871e2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000011,1a4c0618-e055-4c74-a00a-e607f8dc5dd3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000012,9db0e4ac-c0e8-48a8-9d65-b071321746cb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000013,bb7587f8-8680-4db3-8ba8-fe205c4cafd6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000014,1293ef8d-8074-4172-ba06-ec178040dc5e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000015,0c9cf1b8-cb38-4e7e-8621-effbe4ebf1b8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000016,20845912-3a85-473c-b2c6-4204f88235c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000017,e2c030a2-2c07-400d-a4b5-26392b92b0f2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000018,7536d6cb-2c86-460b-919d-0397475d74e6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
c1cde3e4-da8b-44d5-9692-ea490c817754_000019,f05aa9e3-d055-4216-b087-5eb502221bb3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
