event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c30332e2-ef74-4dbd-8333-2791176ced22_000001,fda694c3-da29-401d-ad47-ade5decdc86a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000002,15fadf98-d8c3-455d-b6a7-9748b76f8db7,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000003,ee582490-8461-4783-8315-e160e4daee29,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000004,1f430059-ab65-4afd-b36c-cd09b09246ca,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000005,362c4d6b-a4f2-4310-b0c0-970dab7b3e86,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000006,f27dfc29-b99a-4158-937b-9b9cd4e1f3cd,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000007,5b62682a-d381-4ffc-a1f4-84a0f8219a8e,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000008,4a384a42-105d-4271-bbbb-43f7676594cd,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000009,667a4ba3-7922-41cf-8a91-742b7c611c8c,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000010,c4422225-ebd1-42bb-9f01-e065da1e997c,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000011,cef1adef-2c35-4d8f-91ec-b0047dd66908,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000012,0ee814e3-8272-4912-ab41-c00c940d70e9,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000013,3b4f3cc7-f6e2-4348-91f0-745275f7dcba,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
c30332e2-ef74-4dbd-8333-2791176ced22_000014,14334d25-e28d-43a0-95eb-a3e6884d984b,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
