event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c37d3279-1e13-4d17-b826-dd00deebc926_000001,48830c64-9143-4814-b367-d6b6b55005ad,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000002,a51d3040-4c4e-4222-bdd6-7cef946de96e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000003,911fd231-577d-45c4-b985-7eed4e5d979f,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000004,760d3e99-227c-4775-be00-5cd0e98bc778,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000005,a04a147b-c7c2-43f9-bd3b-ab740424169d,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000006,8bee7938-52d4-49c1-aace-7e6bb4d96fa5,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000007,c49fb4c2-eea3-49fc-a404-5c1850700711,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000008,8488994d-c30d-4467-8b2a-3e8e58ded374,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000009,fc6e54b4-f68c-489b-9746-0715569de540,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000010,96c283b6-edc6-49bf-9cbe-46d6fff38725,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000011,9c587fa0-a157-40a7-853d-62379e66f5ec,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000012,464c4648-1b6f-4148-a1d3-e4607dd7b1c3,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000013,705c83f4-f4e2-42a3-a2e4-eec8fd523ac8,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000014,056353de-2823-4fea-ab70-6f3ac6dc4981,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000015,688fbf3e-b1fb-48cd-b6ab-df45dacc897a,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
c37d3279-1e13-4d17-b826-dd00deebc926_000016,57686d3b-3346-4159-ab7a-c5caf2aa82c9,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
