event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000001,d01145ab-a175-457f-9f03-86b803fc5264,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000002,974792ee-27e5-45ef-95d3-799787a3046f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000003,365b8113-92ad-4447-bb98-2cb671c0a555,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000004,3de95207-21fc-40c6-812a-d22c6528cc24,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000005,27de5dd1-f752-4e7c-8cf1-b75d5dfa7fb5,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000006,1f709286-3dae-413e-9040-c6f5a2baa199,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000007,4ec7b83e-1aa6-4315-8c2b-a08e2e223a07,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000008,1915a89c-d5c2-49e9-b7bc-750ee5b786e0,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000009,0b8c6e0d-e4f4-4e46-bf66-80be17b99827,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000010,43f72622-9473-409a-a168-3941ae030d97,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000011,42c38d43-2f9a-4885-97cf-d25e3de3a5a6,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000012,0f623470-cd5c-4989-8f09-067e0d589960,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000013,aabe9623-07f5-498f-b63e-f69b1ec706b8,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000014,c93efa38-6657-41ca-9e10-7f8741cfefd3,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000015,68969bf7-a90e-4be9-bbc4-1b5a26d83dd0,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000016,23555f56-189c-4a03-a139-8edbb06bb571,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000017,865fa701-c9c6-4969-97de-ca3f7b0ec174,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000018,2723072e-86f1-492d-981e-2836d08008f6,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000019,3629bdc8-9098-452a-ab9b-eb3bf2837a01,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000020,c86d3102-0ee0-41ff-a83f-53efe8fb45b8,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000021,4eed34f5-6f96-460a-8a9d-cb2f753790b1,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000022,dd54dc46-0e3c-4e4f-97d9-7c7ea7d4d50f,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000023,6ae4c326-b74f-4029-bd1d-0d5348b01c30,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000024,3c208506-f0ba-472e-939e-b2d297810884,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000025,3b17dc06-3ae5-42df-ad12-9e87b9f95b7e,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000026,4fbbeceb-f384-48fe-848e-8dfd7ea74996,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000027,113cfef2-66cb-4dc3-b06e-fea997e645b6,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000028,840d892e-64e3-4d95-9f13-87768b814957,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000029,a29a7d1a-ef1c-4bfa-b189-52a767575e4b,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000030,3abc8ec0-4c65-4fc2-ab27-ed59c4d41804,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000031,9861e08c-2c66-4b87-8795-ec80152227ae,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000032,eca4686c-d235-4c1b-8ab9-8940b89ef4ff,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000033,440acb1c-2b97-4ff7-b991-59857db41d63,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000034,f3c58caa-469c-4183-beab-2e04f7158f1f,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000035,f7169ab4-dde1-4c70-9311-c9fe6c6db114,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000036,b541529b-e001-476b-8881-eda59f420dfe,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000037,a4617c07-9f64-4896-8433-02b85a2b87aa,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000038,1de08657-7e27-429c-90e3-b672bd91df24,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000039,c1f3c745-c000-4a1e-ae89-48d52c45aa89,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000040,f3a7ae67-a2e1-449d-8e30-f85d22cff7d3,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000041,8f9576e9-4c71-4564-b7a6-8c775070cb83,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000042,382cf18e-f480-4418-9e3d-3fbb56288397,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000043,66d408f9-9783-4283-a051-d67093207ddb,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
c87e8501-ff79-4b8c-a404-b7d1ea83c7d1_000044,c6d37551-76a2-4514-ae3d-342c5bafe319,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
