event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000001,81597850-3eed-492a-95f2-4b0f3368ee16,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000002,6216b208-5a4d-4d20-86ed-6631f335796f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000003,383ca96e-9e60-41b8-a418-c505e6c7c9e3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000004,0203c311-0da7-4337-807e-5a6d9239d6d8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000005,cfc4d4d7-c50c-479e-ab7d-dce18cf5be49,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000006,62d18ec5-476f-4178-bcca-1ce7d2bab568,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000007,c0cb9ace-6b67-4eac-9351-20e812cef6ab,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000008,2b7c895c-1f12-4959-895d-9e4f74cb5368,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000009,3c36a2cf-472f-41ed-947d-8bf1da7135ee,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000010,10858184-a6d8-446b-a89f-8383a58ad6c2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000011,6ae9b93f-2fc4-4ee6-a850-10ec66cd7037,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000012,bfe83653-c2ea-4478-92a1-d7f83960cc20,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000013,b3090cca-549e-4045-bdfa-20c34025ebc2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000014,f98772a8-9752-436e-892c-0edf64ab2bb0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cb2d8396-4b5e-4142-9e9c-a5680507ac0d_000015,c7eec93a-ab4a-455c-8050-2f97094fd410,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
