event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
cbaf6823-f025-4588-9868-58c26e4586d9_000001,901a148d-a74f-4d0e-996c-bed53a422138,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
cbaf6823-f025-4588-9868-58c26e4586d9_000002,73be4c5c-f41a-44a0-af82-caa5bcc377b8,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
cbaf6823-f025-4588-9868-58c26e4586d9_000003,268c0568-b4ba-45ca-bc9e-fa86eac38aa0,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
cbaf6823-f025-4588-9868-58c26e4586d9_000004,700724ca-44ce-407b-bfd3-bdf0860490dd,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
cbaf6823-f025-4588-9868-58c26e4586d9_000005,4063a67d-da47-453f-a58f-f0a26d6077b6,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
cbaf6823-f025-4588-9868-58c26e4586d9_000006,dd5775db-68d4-4be7-ae6c-88e88daa5495,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
cbaf6823-f025-4588-9868-58c26e4586d9_000007,1222f2ea-82d5-4f3c-84f2-bef95a4a51d7,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
cbaf6823-f025-4588-9868-58c26e4586d9_000008,e469c7d9-b506-4b5e-a137-9c729a7683a5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000009,fe0e6747-c0d3-49ac-bc52-2ad32add6f84,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000010,bf49dafc-170b-49d7-8eb6-d6c85750947c,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000011,803cb77d-99b4-4f7d-921a-d7888834a250,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000012,ed7da595-ee57-46ab-8f39-88e89f99bf65,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000013,b6109160-480c-4fca-b814-617660cdc30a,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000014,a6185abf-5b1f-49b8-9048-51154b0a570c,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000015,934092e3-f647-453f-ada9-375ae1398d87,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000016,9cf8e253-dd00-440a-964a-e0813f8a23aa,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000017,d3058f63-5600-45e9-8ee9-20862256a0a7,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000018,601a3c42-b99e-4e60-9fef-541317eebf08,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000019,e9f66093-180e-4cde-a64e-d9fc9c2d40e9,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000020,9d09bf3f-5dfb-4c7f-bb05-e885693b7dab,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000021,ffc477cf-e1e0-467e-95b1-1eef5fd2f725,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000022,492da9e3-754a-44b5-a5bd-975ce46888d6,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000023,c83c2190-868f-452f-bc4b-19229048e468,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
cbaf6823-f025-4588-9868-58c26e4586d9_000024,c18baba5-921b-4d29-9918-6dfc717afefa,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
cbaf6823-f025-4588-9868-58c26e4586d9_000025,4ffad694-ae08-472f-9ced-b0b1c58de525,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
cbaf6823-f025-4588-9868-58c26e4586d9_000026,00399391-6788-4a0f-9ef9-bf3b12e345be,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
cbaf6823-f025-4588-9868-58c26e4586d9_000027,7caf5259-18a7-4328-9ff7-6dbfe59fc536,promotion,2026-1,36,36,C,Consultant,TestOffice,C,SrC,CAT36,0.2,,
cbaf6823-f025-4588-9868-58c26e4586d9_000028,73be4c5c-f41a-44a0-af82-caa5bcc377b8,promotion,2026-7,42,18,SrC,Consultant,TestOffice,SrC,AM,CAT18,0.317,,
