event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
cf1717f9-9c59-4105-baeb-01d7f188d623_000001,021725e4-8ee2-4142-a9df-13ac1499278d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000002,3a87c513-4e76-4bb2-bb9b-4bb8ffa5359c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000003,a9bd8542-154f-4bb1-bbd9-21303d1f744a,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000004,60bb9948-2cde-4a2b-9cba-0b67be00d6ed,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000005,4a920243-d887-4e3d-a92c-720060e3920b,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000006,7fdeb0c4-2734-40b7-bf40-68eca305cc85,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000007,a301faca-9190-4edb-a300-21225271eac0,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000008,9ab3b762-ede6-4fc3-85eb-1192c8d4c94e,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000009,b5956924-16bb-4e5f-b3c3-61efb1274b86,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000010,36f39b9b-9a35-48e4-becb-b35ec05eafea,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000011,5a180f60-01cc-488a-bf9a-919401a7802b,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000012,de8c8f96-4777-47e9-af1e-98fa071c84af,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000013,a2dd5acc-ff61-4747-bfa5-7eab7bd8802d,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000014,78b6c179-919c-484a-b661-cf64e43fb29b,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000015,c3400449-73ed-47b8-9a5c-d941ef41bedf,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000016,bd61bfd8-5768-41b2-95ef-7814b55dc370,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000017,48daaa56-ecd6-437c-9bfd-e2037f70a9ab,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000018,df31a0b3-a714-4b8b-b728-08b6493c1d0d,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000019,591c9545-f557-4fbf-8e64-87ac6a179d53,promotion,2025-1,128,30,M,Consultant,Stockholm,M,PiP,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000020,a0e9a328-b385-4998-bd2b-46a5764f0457,promotion,2025-1,93,30,AM,Sales,Stockholm,AM,C,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000021,d24ba974-6fa4-4937-bd81-8b876d19a34e,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
cf1717f9-9c59-4105-baeb-01d7f188d623_000022,a1a83f02-dec3-4428-a5a1-1dc455f0d04f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
cf1717f9-9c59-4105-baeb-01d7f188d623_000023,aa89ab64-b271-48e1-9717-a538b3839c3d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
cf1717f9-9c59-4105-baeb-01d7f188d623_000024,88486687-25aa-4c86-8239-9cc8fac0aa32,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.0198
cf1717f9-9c59-4105-baeb-01d7f188d623_000025,0f1a897f-842a-410d-99d0-030019ecf36a,churn,2025-1,92,27,AM,Consultant,Stockholm,,,,,0.0164,
cf1717f9-9c59-4105-baeb-01d7f188d623_000026,458ddcc3-2590-433f-8252-4cb84e8858ac,churn,2025-1,89,36,AM,Consultant,Stockholm,,,,,0.0164,
cf1717f9-9c59-4105-baeb-01d7f188d623_000027,b9288ac3-ea29-48ec-8eaf-3d90446ddcfe,churn,2025-1,24,7,C,Consultant,Stockholm,,,,,0.0219,
cf1717f9-9c59-4105-baeb-01d7f188d623_000028,a7c6d837-2f10-47c9-b1ef-e9978f99a56a,churn,2025-1,30,15,C,Consultant,Stockholm,,,,,0.0219,
cf1717f9-9c59-4105-baeb-01d7f188d623_000029,3d731fd9-1667-4373-bcd1-b53dbdcde93c,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0097
cf1717f9-9c59-4105-baeb-01d7f188d623_000030,48b6541d-cc1b-40b4-8e10-c6e394156dff,churn,2025-1,33,0,SrC,Consultant,Stockholm,,,,,0.0201,
cf1717f9-9c59-4105-baeb-01d7f188d623_000031,a2f4a8a8-a286-4037-9b9a-928b4abc2cd5,churn,2025-1,38,5,SrC,Consultant,Stockholm,,,,,0.0201,
cf1717f9-9c59-4105-baeb-01d7f188d623_000032,f300cd8b-b3a1-4a38-9a7a-27cbb04e619d,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.0201,
cf1717f9-9c59-4105-baeb-01d7f188d623_000033,6936c5bb-383b-4132-9a60-45a4b0aa07df,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000034,273bd810-6e59-4fa9-a03d-507c27cc1571,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000035,3ba5c52b-d195-4adc-81be-8b1473865e6e,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000036,9881cd89-d0dc-4ebd-a22f-aa0b504c0fb9,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000037,a4251aa5-a4fc-4a96-8ab6-7335556fe695,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000038,542e2057-8ea5-4873-98a1-fbad1253d219,churn,2025-1,19,4,C,Consultant,Munich,,,,,0.0219,
cf1717f9-9c59-4105-baeb-01d7f188d623_000039,de932624-050c-4496-9ff8-9208746721db,churn,2025-1,46,4,SrC,Consultant,Munich,,,,,0.0201,
cf1717f9-9c59-4105-baeb-01d7f188d623_000040,93c3e197-027d-41a4-adae-9427ee77c49a,churn,2025-1,52,1,AM,Consultant,Munich,,,,,0.0164,
cf1717f9-9c59-4105-baeb-01d7f188d623_000041,dae762b0-dc67-4e05-bef8-d70f0516f057,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000042,7442cf28-eca0-4eba-8018-941cd9bbf640,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000043,6acf064c-8880-4c6c-8b99-c36a52519842,promotion,2025-1,96,36,AM,Consultant,Hamburg,AM,M,CAT36,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000044,ae3c93f6-9f80-45f2-afcf-e601b3ab21e7,promotion,2025-1,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000045,53aeaa10-42e0-47d9-b6ca-3fdd1eecb4c0,promotion,2025-1,141,44,M,Sales,Hamburg,M,SrM,CAT42,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000046,d6fae130-5506-4ba1-8db8-fc46d1507c42,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000047,f8a8aa33-8db1-41fd-a0ca-0ca05bc073be,promotion,2025-1,84,33,AM,Consultant,Helsinki,AM,M,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000048,c9e8c5c7-b01e-431e-99fb-13aac5d3ce28,promotion,2025-1,29,14,C,Consultant,Oslo,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000049,c444651f-9e64-471a-aa87-751637dabed1,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000050,9dcd1d75-a518-4bd2-82d3-1d7e265f45b5,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000051,0eaf67d0-dbc9-456b-bb59-8b8694f1b7ee,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
cf1717f9-9c59-4105-baeb-01d7f188d623_000052,6f2ef9cc-b107-4dcd-9fb9-29274dc6d514,churn,2025-2,1,1,A,Consultant,Stockholm,,,,,0.0073,
cf1717f9-9c59-4105-baeb-01d7f188d623_000053,53733c4e-d26b-447a-b770-033b25886ee4,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.0505
cf1717f9-9c59-4105-baeb-01d7f188d623_000054,f771e7fb-64a3-4229-9efc-7b6c6155b247,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,0.0505
