event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000001,f591025a-df75-4bd1-8a1c-aefc7b561319,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000002,f7f5ff40-e57a-4b99-a368-bd3c0890f703,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000003,7e8e4189-e0f5-4929-8619-11613c0c6444,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000004,5068cc72-20a5-4ee5-962e-106879c3ee70,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000005,5a4bf41f-b7b3-4201-8f52-a100a7141875,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000006,63a50d79-dcb1-43d7-9cbd-8cbc79cbb5b6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000007,9fab6498-d94d-489e-897d-f3d76de5b846,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000008,c8079846-1b10-49e8-9c22-b5c8f91c29a1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000009,444cfd1e-28e1-4076-ae9e-bcda7ba5ba87,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000010,1335cbae-e9b8-44ab-ab24-a7270e2f05ad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000011,ff8a43c6-2f27-4d19-915e-54226312a66b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000012,2957ad61-b93a-42f1-a052-9656e7b94283,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000013,ea11dece-4fbe-4591-bb0d-84bdc4d891b5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000014,077d70d2-0a92-4701-a677-ab06d958fda0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000015,200ef89a-a263-4ad6-b76a-302e5b27a3be,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000016,b52ee61e-62a5-4655-9d47-ab274d076849,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000017,ae78fa7b-3989-49f5-ba46-da7823731c3e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000018,e78a24cc-4fe8-4b74-b3ca-cdcc943c337b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000019,5dd70c4f-058b-4c7d-bf23-de3734b3e2bf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000020,8ef60438-1d9c-4981-a944-d0e03ceead88,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000021,05fb5780-ed63-42da-ac86-ab640b4b2c68,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
cfac9933-4a46-4c57-b05f-5f070ecbc85e_000022,b9127fb1-4c2e-455c-ba10-01c4d647f0cd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
