event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d18c3b83-ed03-4c55-9abc-4893c2209a93_000001,00edd678-c0ae-4e0f-bd04-d47de1740a53,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000002,8795093a-2bb9-44e5-88f3-baf24ea8af9c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000003,78aa45b0-09de-4345-a649-dcaebd7f51cc,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000004,1084bae3-9d4d-47b1-99e3-85d0e38da307,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000005,0382b5ee-b013-43f6-8bc8-91abb081d0ad,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000006,dad9fcf3-621e-465a-aa09-749b8b1b875c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000007,556127a7-2cd8-4767-a83e-448e098e0461,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000008,41c2ae5e-6459-44d7-8640-414d362261b4,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000009,28bfe68b-375e-4881-95b6-78a580aa1224,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000010,d7459571-b8f3-4991-9ee5-b2509fb37a13,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000011,91d7e440-3c6c-4499-b667-3003447cfc8e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000012,73d0c081-475d-4335-83fe-cb859ba865ad,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000013,bf200119-db7f-4a1e-9da3-ef784499c5d5,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000014,f1b95abd-20fd-4b87-a34a-7edd140681af,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000015,dfc72811-e0fd-41f5-810c-a470c91b6fb0,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000016,a427422e-dc1b-478f-b683-3bd014f93033,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000017,3497ee0d-4f01-4a27-a577-32392be7df79,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000018,232b56fc-32bf-434f-a193-f5770aa7e1a9,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000019,a88fb5ed-1a98-4a3e-86c2-4e05545db64e,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000020,3c09e7e8-a715-4d16-bef4-7ceca7c1f4b6,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000021,a2769c9c-83c3-432d-80e6-7abd53bf8c43,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000022,9e49d7f2-a161-4ca8-919b-196c82e744cd,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000023,5ddab8eb-e6fc-488f-9f15-29791f335ba1,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000024,64c45d09-ab8e-4d9d-bdeb-4e48d43c3613,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000025,657d3c84-aba4-43bc-96ea-f21def8e53bc,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000026,bd5668c4-06ed-4c2e-99fe-a6b7e543497f,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
d18c3b83-ed03-4c55-9abc-4893c2209a93_000027,37cc02f0-efa4-4840-a54f-ce63cd238777,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
