event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000001,32b4e22c-49a7-45bd-901c-4baa39b0c8a5,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000002,6b5fb416-d222-44f0-ad32-42647e696803,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000003,ffdc3db5-b9e9-448e-9641-84d3eef4bfda,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000004,9e5dec12-12f6-4f23-8e8e-8f1e7cf46dc0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000005,ef849286-501b-4e7b-bc65-29e60ee3d718,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000006,b858d3b7-e363-44c4-9249-5d6690fb8cc2,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000007,8bc69deb-0e63-44a6-ab7c-bd27a098cdd4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000008,19dd1a70-5adb-4ecd-9d5a-1cd87aab6ad9,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000009,45266f5b-268e-40c1-ad0d-d76e5ecf2ad3,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000010,763e09c3-028d-4abf-8fcd-c81444e54931,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000011,4c776091-1f13-4f13-80a7-7f06625bcb33,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000012,c18f3244-8465-41a1-b362-866ff9e476b5,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d4a7ea72-9216-46a9-bcbd-f29b0b9085d9_000013,b0b21014-b78c-4b44-95e2-b5a955cc74ef,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
