event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d68d39d3-7274-450d-9080-d99d79a71640_000001,5ef6b3be-ef14-4802-9393-6cd7f7bbb61f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d68d39d3-7274-450d-9080-d99d79a71640_000002,99579894-c292-45e9-a8a5-e2aadded5ffc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d68d39d3-7274-450d-9080-d99d79a71640_000003,15644725-e2ec-4ab1-b452-33cf6ca73ee3,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000004,2f667929-71b2-4438-abfa-3ba039487791,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000005,d9a4e841-2c5f-4ddb-bbce-90d1c4c0b227,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000006,8b7dd68c-bac6-47c4-b33b-e73e025bbeda,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000007,e0139ef3-86ea-4a50-a461-951f10f4d900,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000008,8ae583a0-ee37-433a-87ec-57f280e028a4,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000009,96f26aed-2f31-49b0-8217-2872e33076a4,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000010,d6846bf8-b6fa-4139-9bfe-c9c978cef3b1,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000011,cf20792d-aea2-4878-8f3b-48c7aecdf1b6,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000012,a2b7ae62-e0d9-4648-924e-24db256784d6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000013,822059f4-aa53-4b1a-b325-759311b6c2fe,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000014,eb2ab146-6c73-4b67-b273-da8fd6c4d8ac,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000015,f4674b31-fcc2-4abf-9636-eccc11437de4,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
d68d39d3-7274-450d-9080-d99d79a71640_000016,9499eac2-b2ba-4aa3-801e-4f72b13bdc5a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000017,c08b7aec-61b7-4486-9bbd-d3197f9160ad,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000018,8ad29a7d-52f1-4c61-8b77-0109ae88c163,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000019,c49d19e4-0cf9-4e2c-b3e5-3421c7294b65,promotion,2025-1,128,30,M,Consultant,Stockholm,M,PiP,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000020,dfea46a4-d042-4999-b5d3-9742c4092040,promotion,2025-1,93,30,AM,Sales,Stockholm,AM,C,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000021,0c5a0b82-a8fa-4175-a223-c8bd5df6f001,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
d68d39d3-7274-450d-9080-d99d79a71640_000022,74c40ace-7017-4c18-903b-da1bdbe3b93b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
d68d39d3-7274-450d-9080-d99d79a71640_000023,a68e0b22-00b8-4261-95d5-f640ece63b95,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
d68d39d3-7274-450d-9080-d99d79a71640_000024,1688c41b-adcf-424d-a150-20dc8ad21040,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.0198
d68d39d3-7274-450d-9080-d99d79a71640_000025,b3d1f2ab-9849-415f-91df-937e4ff6b71a,churn,2025-1,92,27,AM,Consultant,Stockholm,,,,,0.0164,
d68d39d3-7274-450d-9080-d99d79a71640_000026,f70fc5db-b626-49ab-b92e-f63b820b24fe,churn,2025-1,89,36,AM,Consultant,Stockholm,,,,,0.0164,
d68d39d3-7274-450d-9080-d99d79a71640_000027,adf3377c-23f1-4d3e-b399-c7e4a15b3263,churn,2025-1,24,7,C,Consultant,Stockholm,,,,,0.0219,
d68d39d3-7274-450d-9080-d99d79a71640_000028,b0ed0edd-6403-4d1a-a8df-6dab1dff1d8e,churn,2025-1,30,15,C,Consultant,Stockholm,,,,,0.0219,
d68d39d3-7274-450d-9080-d99d79a71640_000029,f6950dfc-fc3d-4226-82d4-4c4917efc8e2,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0097
d68d39d3-7274-450d-9080-d99d79a71640_000030,7a387fdb-75fd-4f67-9fc6-f118cdde3a81,churn,2025-1,33,0,SrC,Consultant,Stockholm,,,,,0.0201,
d68d39d3-7274-450d-9080-d99d79a71640_000031,df99fc56-c91b-4cf7-9da4-6b843ca6c062,churn,2025-1,38,5,SrC,Consultant,Stockholm,,,,,0.0201,
d68d39d3-7274-450d-9080-d99d79a71640_000032,cd0ae09f-eede-4d15-b60c-d543e5ef3630,churn,2025-1,44,7,SrC,Consultant,Stockholm,,,,,0.0201,
d68d39d3-7274-450d-9080-d99d79a71640_000033,fe2a815f-62e4-4864-8ac4-8795cec36355,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000034,22d8878f-7ec0-4a9f-927f-7d05cdb5a308,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000035,4b069eb6-2984-43ad-8255-8a6b8ae5466d,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000036,9a080a45-0c1a-4bad-ba15-7ac46e5aa4d2,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000037,27e7f35d-24f2-451f-94aa-345d30854035,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
d68d39d3-7274-450d-9080-d99d79a71640_000038,1e5df07f-8656-4543-bc7d-396dcc63d10e,churn,2025-1,19,4,C,Consultant,Munich,,,,,0.0219,
d68d39d3-7274-450d-9080-d99d79a71640_000039,f4d99068-a06c-47f1-a973-8b0b9c0c7a98,churn,2025-1,46,4,SrC,Consultant,Munich,,,,,0.0201,
d68d39d3-7274-450d-9080-d99d79a71640_000040,597902f3-ee25-4378-b65c-827922a25eff,churn,2025-1,52,1,AM,Consultant,Munich,,,,,0.0164,
d68d39d3-7274-450d-9080-d99d79a71640_000041,a38ac75b-4cd9-49ac-b1e1-b18fcc7bc7ec,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000042,c039e1da-8227-4d1e-ac99-b621c5f5f11b,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
d68d39d3-7274-450d-9080-d99d79a71640_000043,ac9048d1-6c74-4785-83dc-436b9fd58e9a,promotion,2025-1,96,36,AM,Consultant,Hamburg,AM,M,CAT36,,,
d68d39d3-7274-450d-9080-d99d79a71640_000044,bdf25ac6-fa87-4986-8762-d22f9c3faa68,promotion,2025-1,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
d68d39d3-7274-450d-9080-d99d79a71640_000045,402b81c9-48c8-4468-bac3-18bc585d11da,promotion,2025-1,141,44,M,Sales,Hamburg,M,SrM,CAT42,,,
d68d39d3-7274-450d-9080-d99d79a71640_000046,16128a60-bc93-4c73-aefa-27427b01268e,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
