event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d74e7f17-28d5-43a4-8093-8a880fb298e3_000001,ff12d617-360a-42a1-bffc-80bd6efad828,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000002,c97c3ec3-2b89-4d0b-913f-7ba40e48b8e4,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000003,8edc7055-65b5-45b8-8159-feb43c2cb10b,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000004,fd1137ec-1f3a-4d02-8e0f-6f229289cd42,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000005,c5afa3ac-900d-4187-aaa3-54e116282921,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000006,f7a22b7b-4a9d-4724-aff3-478a49293c1e,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000007,0196a3bd-fea7-413d-9f6e-154e18d857fb,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000008,52185007-83bd-429b-be4c-436e8680cf85,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000009,3f480f4b-271f-44e6-97c7-4b091aa155a1,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000010,cb08b91a-b7d6-4429-a066-948f38eec1eb,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d74e7f17-28d5-43a4-8093-8a880fb298e3_000011,3f3dbca3-9b23-4829-aba7-e197d2d11860,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
