event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000001,a94d3715-27a8-4d75-a61d-f71282db3cb4,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000002,bc91c4d9-8bf2-4dfb-9bf7-4aba8d91d6fa,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000003,df2357f7-c44b-4859-854a-11c6cc5271a9,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000004,38c59e4d-d82e-402c-ba58-98e735ed6b67,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000005,d388c0fa-5749-4fda-8feb-ce8bd4871ff4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000006,5ddfa389-357b-4168-9088-fb7c13c89b3b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000007,effa1d9c-ca47-4791-92d6-67f43131846c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000008,5cd8055d-4d8a-4ba2-8c1d-13d4ba9c026d,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000009,0ddcf451-204f-4959-bbfb-ec11ab401730,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000010,7f4ebe03-3cc5-4bbe-a4dd-d976b36e7938,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000011,e6a04077-3272-4f51-9d42-146c69ecc0a3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000012,c35100d6-a54c-489b-9439-d8c639fce5a8,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
d76a0263-9c2a-4ad8-a95e-a8a8739455c0_000013,1375e1f9-7a08-43b9-86f7-1f7ac3d24872,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
