event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000001,bd29ed8a-1870-4459-8dd0-31f18d99617c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000002,1e32ba37-6f2b-4ea0-9e5c-245ef67778c4,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000003,0f446df1-e7d3-4c8f-96fe-b8522c95ee9c,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000004,56250b2b-e844-4aa1-9723-b912846629e6,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000005,03d61d47-8cf6-4473-9c99-0284eeef9407,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000006,e18b6cf2-cb53-4f34-b4ab-c3fd5d92c0dd,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000007,a312fbeb-85aa-4703-b79a-7e89790d93e7,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000008,9bb37b26-4018-4aeb-a348-3a4fb6b7e2d8,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000009,67219591-f05f-4811-b6bb-e9e29e68f4c9,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000010,d40c2c5f-2232-4666-bca0-7622071c2cd3,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000011,024fe187-68be-4ee0-98b9-509c8ca361a7,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000012,e7e7a101-6564-4ce6-bfd8-04cf9a6df661,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000013,d96a9a00-7b9e-4ae8-8353-9a63cf292656,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000014,35929f33-9f71-4a74-833c-b5faedfebbfa,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000015,2296955c-15e9-4499-a88c-2849200cae5f,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000016,4493c766-6a92-451b-91e5-1182f3eb1d1c,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000017,8b65182a-f8ba-482b-9b84-9731ab863cd3,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000018,608652bf-cc43-4da4-a6d6-59f11b5c83af,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000019,4bdddff6-2b7e-4d5c-91a5-ffb25bc9b9bc,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000020,1e1103c7-52e6-4a9f-b4cb-fb4e99a39716,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
d92ba3de-2bbd-4bf2-89ef-196a1f8b0033_000021,3bf5f668-9249-495c-9720-e90941cd58a1,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
