event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d9eca75b-4065-432b-a5db-ce07f812b9b4_000001,e662814c-bf29-4348-9934-8ab2ac4dc214,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000002,999903cb-b71e-47f7-ad5a-99b9187f2c6c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000003,4cdf9696-c93a-45cd-9d02-dbe189a70be0,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000004,06ece7a0-6297-42e5-9c76-f5d77af72919,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000005,a3f00ef9-dcf9-4bbc-a893-e35eb349c5d3,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000006,039b4ef1-0093-4959-b8a5-2e693e4666b0,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000007,7d670566-f605-4323-97e8-02849efb587d,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000008,d3eb6760-90cc-4097-a83e-58d9e846c17c,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000009,fda85aee-7d51-47c5-a355-0635141746ab,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000010,7aea5e82-cd87-48db-bfed-c5bf5ae3f2db,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000011,b4d605a0-1ac9-4674-8d41-a49bb3c03d44,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000012,dcc272b0-f1e4-4fad-a1d8-4939c01164b2,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
d9eca75b-4065-432b-a5db-ce07f812b9b4_000013,146d8798-dc6c-461f-8db9-a14648710b3d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
