event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000001,aa57478f-d7bd-43fb-8eaa-3944d7be7da5,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000002,60a8e3cf-1ebc-41d6-abb8-20ec76bb3c6f,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000003,620342e4-00fa-40cc-81e8-1ab58a44f57e,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000004,1f4d1668-5103-46ed-93c9-527e73d06b81,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000005,597e0093-44ee-427d-aab8-41bfffc20f9e,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000006,185ec66a-534d-4e37-b3c6-696bde835359,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000007,40cc34bb-85e1-41f0-b831-12dfbea4b17c,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000008,c0585043-c7a4-4b41-b796-fe671caca821,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000009,12ad556d-f29e-47ae-82c0-70ea115962ad,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000010,0d0d1f69-e11c-4d2f-b0df-7efab5a56001,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000011,028f0b84-b192-4dd7-8a87-f5e32fc506ce,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000012,88e1a846-2509-49df-a5aa-fdb63b06d6f7,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000013,3c169328-05e0-4c50-bf16-049d5739f963,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000014,1e3d7d74-85ae-497a-8012-c3eeb964e55b,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000015,3777993a-7778-477a-95d7-32b215cdb406,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
d9fcaa80-3733-4783-9171-ee8eff8ea0f9_000016,311cfb48-ebc7-424f-b966-28db16674f72,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
