event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
da6b666e-9291-405d-9881-e101083773b2_000001,b3add9cd-d13a-4e6d-bad7-dc2839cbf210,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
da6b666e-9291-405d-9881-e101083773b2_000002,1867dcc3-f431-4c92-8b24-6cdfeb3d7cbd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
da6b666e-9291-405d-9881-e101083773b2_000003,cea6af6d-f790-4577-b0ca-00458b909ce0,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
da6b666e-9291-405d-9881-e101083773b2_000004,981119c6-c11c-4bc1-abeb-ee1791d6bab7,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
da6b666e-9291-405d-9881-e101083773b2_000005,5a9d51d9-d471-41ed-8a06-558d4ee90fbe,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000006,cd97d001-d2ac-4258-9ba1-d94b035683d4,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000007,7dbe7e74-f3a8-4664-9541-f2b5dd8f29aa,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000008,fa72ec27-cf08-494a-8835-ae8b289dc98c,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000009,949e9d23-841f-4d5d-b0ca-c708487132ae,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000010,1b0798ce-c3b6-442e-b9fa-7f7a9ca5da10,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000011,5348ecc5-8dde-4af5-bbd8-e467fda4fccc,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000012,05f1d30d-856a-47d4-a4e8-c412b001f479,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000013,e2b6f5f6-5527-4122-b97e-146f8094376b,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000014,40400f25-41a6-4975-8165-91c2f856bf99,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000015,1cccb34c-aa71-4606-a3fc-803b511fb1bb,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000016,3699c9be-c293-4632-8b4d-8cc08580e0d1,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000017,959d688d-2020-45ec-bab7-124be75f6d7b,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
da6b666e-9291-405d-9881-e101083773b2_000018,dd26481a-bc96-4496-82d6-2d92c153f498,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
