event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000001,3ecba56c-2956-45fb-ad70-8901f4c83346,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000002,41e71825-6a4e-4691-ab8a-3c176ee2c0dd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000003,eb2250d0-d815-4729-9aed-6b1ee60cc4a9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000004,42d404fd-ac41-4a9d-9f53-d7a5f233368d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000005,e070170a-fb88-46e5-9049-75c1d40ae068,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000006,db955ed2-6c74-4fd6-8808-c9ae9c1f3c88,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000007,d0954914-9683-4651-b761-843f9d7964df,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000008,eea9581c-90b8-4dc8-96a3-a8773fa6c844,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000009,29c0ba2a-4bb8-4aa3-9121-fffb818c0413,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
df1141af-7bfe-44fc-b044-6eb7ee4e8c16_000010,46e70137-a0bd-4b58-9dcf-5aaf6e7d575d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
