event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000001,6c25785b-fb53-4d9a-89f4-c783c362c5ca,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000002,4a47de5d-ba43-478c-94ac-6833d99b1d4f,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000003,19219659-a9e4-4f52-8f08-93dd110d4629,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000004,cdf84499-f2a4-4870-ba6f-c486b92fb1d3,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000005,13089afc-ee46-421c-923b-ac5e8793d1fe,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000006,de1e863f-a33d-49cf-9309-b7a1bb0f479d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000007,a997fc9f-4f02-4cb5-ba96-a28ff4138a57,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000008,ff925b03-5c62-46d9-b92c-f2cc4200a45b,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000009,a8305dec-c1c3-4ca7-a8af-9be4a625461d,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000010,4fb7360c-ed29-4267-a265-de446fb8a5f4,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000011,4c104e28-4aa2-4d3b-b530-aa2838c7efff,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000012,7894aac5-9fd4-4986-bbf8-a4250ba01e6a,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
dfd0695a-b6af-473b-bc28-22f639cfdc6d_000013,8a11cc88-9458-444a-b936-e95baa23f127,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
