event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000001,01228db5-33b9-4719-a1da-1eab5d6dc465,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000002,03f49acc-ad91-48a2-9f3d-a1e4295a7d58,promotion,2025-01,21,11,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000003,573a5c83-f8cd-42f3-b918-d29b9337b466,promotion,2025-01,16,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000004,a5d1043a-3b0f-4487-b311-eed24fae3106,promotion,2025-01,18,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000005,bd711c3f-1cfb-4f3e-8692-816bf03f32af,promotion,2025-01,14,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000006,2bd79108-5237-4c0b-adcf-d8c0cb8f45f2,promotion,2025-01,17,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000007,86705cf1-a491-436e-97fd-22096e7be04e,promotion,2025-01,13,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000008,960cc7cc-028b-412a-8ee6-1f5a40f577ed,promotion,2025-01,11,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000009,ee5e9983-f674-4feb-913f-404ca00fb864,promotion,2025-01,10,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000010,ba03345f-bccf-43df-926a-9b665a09c492,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000011,8c8f4fdd-4ab3-4141-814f-af176b2f66d1,promotion,2025-01,7,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000012,0b88ce57-b532-472f-aba3-934c285d4df8,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000013,2e9da001-37bd-4341-8287-62f6587b5e17,promotion,2025-01,18,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000014,1ec9389d-2779-4661-ba36-934b24c5d2c3,promotion,2025-01,17,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000015,fa248bb4-21b3-4c1e-8093-35318a8502d5,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000016,cee3233b-afa4-48b5-a0f4-878b9e0c44c9,promotion,2025-01,18,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000017,4ab94ea3-1e4b-4725-837d-a3f4f41e949d,promotion,2025-01,9,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000018,74a6eb71-f7b4-4edb-88c9-bb582a33ffc5,promotion,2025-01,19,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000019,817c22db-541b-43ed-96a0-ece2dcca310c,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000020,09b87dab-481c-44e2-8c54-26d8e27fefa0,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000021,63d8ed9c-60d3-4858-8218-2e6a54e725a0,promotion,2025-01,14,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000022,9f69cf6f-b387-4933-971c-c5f8dc95c9fd,promotion,2025-01,9,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000023,0eaee5a0-bd80-465b-bdeb-4a69e5de66e3,promotion,2025-01,13,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000024,4bcea823-ce8f-48b8-bee7-08376c4166f9,promotion,2025-01,12,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000025,61f4f339-986f-4241-a7f1-fbc80ae89482,promotion,2025-01,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000026,f6213636-37d2-404f-b792-f640e33f3e89,promotion,2025-01,11,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000027,e9cd94fe-e57a-47d9-95ca-40827f5fb81c,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000028,31868d07-d88e-4523-b1c1-d6e4af9b82c0,promotion,2025-01,8,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000029,aa21c7ab-5192-43a6-a87a-61e861cadce2,promotion,2025-01,9,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000030,d7a20341-e7ed-4dd0-9dd8-03610baf8f7b,promotion,2025-01,12,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000031,5a5ed06e-ee0e-4be7-963a-9bd0d2eaedd6,promotion,2025-01,11,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000032,b6e4a921-03a4-4fd8-b1f0-d977d2e3e387,promotion,2025-01,8,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000033,0958f195-a4ef-4128-aaf0-ee047f16b61c,promotion,2025-01,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000034,534efa1d-02c0-4492-b7d4-64fcdaddef08,promotion,2025-01,10,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000035,0becd3a0-2559-4e7b-85f9-f6aac2a07aa6,promotion,2025-01,7,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000036,5e6f69a6-c23b-4085-bddd-d6d3325d556d,promotion,2025-01,12,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000037,b744e559-e5a5-4b06-8355-bd5b8bcc8b39,promotion,2025-01,16,9,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000038,3b3db619-095f-4875-9d67-9a58d737703c,promotion,2025-01,17,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000039,8b110d9e-c8a3-482b-8739-4071d50d8c67,promotion,2025-01,19,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000040,d88d9426-7d76-4f92-9bfc-72c06d56271b,promotion,2025-01,11,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000041,431df084-1b76-4843-8475-48bc0224d3d6,promotion,2025-01,8,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000042,79c834ae-5ada-421c-99b2-9add762ed4ae,promotion,2025-01,13,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000043,08957409-6bed-4289-b93c-3deeeb8fa91f,promotion,2025-01,15,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000044,e16f806c-8f6c-4492-a525-00b002558801,promotion,2025-01,8,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000045,b7e4a6bc-2c45-45eb-b857-2716764cd02a,promotion,2025-01,17,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000046,8d07c632-4271-41be-8f13-b9ebdb9daa03,promotion,2025-01,14,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000047,fd2e465e-ce1e-4925-b177-f6f50ac46d4b,promotion,2025-01,16,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000048,f190c02c-08d9-47b1-82cc-11c2ab2e1795,promotion,2025-01,11,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000049,f88ca8a8-ddbb-441c-a164-a8798512f49c,promotion,2025-01,12,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000050,f325a01d-8079-4492-acaf-5b6299d8fc11,promotion,2025-01,12,8,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000051,7f26204f-672c-4b40-a501-c34f6edefc0b,promotion,2025-01,13,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000052,b1ac7f22-2239-4857-b789-c699a54348ea,promotion,2025-01,13,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000053,f3782487-c9b6-4741-81de-fd1795c71d0f,promotion,2025-01,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000054,c2d4b2b1-de67-4381-90bf-67e94655dd27,promotion,2025-01,11,7,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
e1a7e4e8-03e9-44a9-97e7-eb0ed22de92a_000055,757c229b-a498-4d1d-99ca-1a2bdcbd955e,promotion,2025-01,16,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
