event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e1dbd987-066d-4228-a58c-95ef8fabd82a_000001,19cd62c0-7ae5-4178-a886-c7b44f9fbe1f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000002,7eb10431-7544-49ac-ad0c-8ad1b42b2500,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000003,6ad8c89b-e298-4f0e-b15d-d0e1d3bf69e5,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000004,cb4d4bdd-0872-4c28-ad53-ba96185ff994,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000005,2611eb57-7efb-4830-812a-986ca4d41a32,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000006,221dcd74-73fa-4046-a194-8e0bfe5e479c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000007,781e9ea8-3968-42c1-87eb-649fe244ddc3,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000008,c614f4d4-cdfd-4d94-8938-ace440310cbc,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000009,fd2fc6e6-221d-4992-b18e-b878ede42d0d,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000010,e9c251e8-f13d-40f8-b3dc-485750495b40,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000011,fcd7f08c-0c97-4fac-b12c-2a204f1e19f8,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000012,ec7ba2ae-9b96-4ff5-8bc4-0243320bac9d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000013,cf646363-833e-456a-a9fc-92c29256d63e,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000014,7b0f2f38-15ae-4a24-a6db-310b0edd6922,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000015,e40bde54-9876-4dd5-bbf5-15c9accfa05f,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000016,df4b4162-f076-4fae-b1b8-ef8b92d50b04,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000017,782f49c7-0217-4c50-a02d-d405bab1b657,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000018,bbb16cf5-0894-461a-846c-335e80c14b77,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
e1dbd987-066d-4228-a58c-95ef8fabd82a_000019,6bc9a627-c285-4ea7-bd3c-f859f1019d7e,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
