event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000001,f23b87bf-7186-4472-a9bc-38d1e615b636,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000002,8cd600af-9fb1-4366-8fd6-4454ba527dce,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000003,9e6ed682-c764-4bb4-96f7-7c11b30fc265,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000004,15a7a707-7347-4ccc-8e7e-3291f1444d80,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000005,fb8b3b0a-5cf1-4e95-841e-a29fdf2ffca3,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000006,c3b4b034-f260-486f-beb3-4abda96b8fd9,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000007,49eac69c-4951-4921-b8d4-c86ed28f0f1b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000008,50ec483b-9006-43c8-ad59-2183f53c5f22,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000009,5dc29e17-801a-4bf2-a288-fabe080ca266,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000010,a15dfb72-5dae-445d-a918-c88e7913dd57,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e2ad1352-f398-48a1-bbdd-3fe5d5e487a6_000011,215cec58-04e5-4ca1-af53-f99096663c5e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
