event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000001,4b87f04d-a4bb-464c-95a4-e06e674005b8,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000002,11943d8f-1c59-4355-9c86-e032a26dc407,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000003,e80688d4-68a0-4e15-bcdf-e24421202198,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000004,3612e6a0-e39b-445b-b42a-bd1fe5793eb9,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000005,19e96025-8210-4b21-9ba5-e1f40a8b66bf,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000006,45da1248-e419-4887-9d09-62b3dc3b124b,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000007,dab69c26-5bf7-41ab-9e49-c7baedf9cf37,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000008,12390250-cf9e-4a55-be15-14c51b292910,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000009,0b716665-e0a1-43e1-84b5-2864409e5eec,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000010,004269fe-c288-47a2-9d5a-9fe11ccf98dc,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000011,6a32f7bb-9d4b-4fcf-b07d-ad9853edebdb,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000012,4d299cb0-811f-42f1-b015-42e9bfc1a51b,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000013,db55da52-29a7-4702-bfa8-b2a75101c587,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000014,03376b0d-a86c-4bd9-8190-41621ff0cd9d,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
e3928a1d-ef06-4713-bc70-c67cd98f9a80_000015,84621627-e764-4cd0-be3a-b72fa93fce38,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
