event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e56806a0-99ab-464c-b02f-2d83535fe80b_000001,9a881e07-85ea-42a0-b55d-e110bfa7eb52,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000002,9fe86426-e615-4c2b-bf8c-a6e2e25a0079,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000003,2463cab9-89de-486f-a1fb-49330e9fa269,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000004,03714a47-d44b-42d3-9c84-7229c6e51c75,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000005,b28bf865-c2d2-4580-b9dd-c6abf500ce43,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000006,85c440d0-b179-4002-8dc1-fd554ff9174d,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000007,d6b77e36-4bcc-4759-a4e7-ce1233bf3809,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000008,7c75ff67-ae6d-431f-9559-6525f34195bc,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000009,271d8139-b9a6-4378-9c8c-4f0599391fa6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000010,5a5250e5-db0a-4195-a526-136cf6b48362,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000011,887ad081-3e2c-44e1-ac13-a6b4752a8ddb,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000012,c2cb8fad-f0b8-40dc-b5a5-da6ea0368253,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000013,9530d527-6d34-4d78-80e4-3db133abcccd,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000014,f48c13f1-7c98-418c-bc03-4d0f8e27834c,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
e56806a0-99ab-464c-b02f-2d83535fe80b_000015,3023fc3e-2a01-4803-8127-ca9d774db2ee,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
