event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000001,e084d458-86ee-4ecf-a746-0c7c6b184a8d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000002,ad8f127b-074b-40fa-9867-8971ada712a3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000003,29f0488c-2a2f-48b0-8c18-369a5d3ad332,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000004,c357eeda-6a6c-49f5-8a14-3d81ff4b625c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000005,b479624a-6fb9-4ac9-9e3d-74454ae75c67,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000006,07e6d3b3-3520-49e5-8898-6d0fa6dcc3c1,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000007,3b42ab79-cbe0-4cc7-9aed-0fd64c92af04,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000008,39b30454-a42d-4c8c-a0e1-259ff80c38f5,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000009,24595863-0461-41da-b8b0-d8d0c501c986,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000010,6ee71452-8277-465d-ac2d-dafcd5c37d73,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000011,42f79dbf-597b-4a72-b050-7497580ac1b7,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000012,8431c991-3e07-438c-9283-59e14fb0228c,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000013,ba8f03e6-d5cb-43ce-8759-d387b89d5da9,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
e5feed85-460a-4fb0-9b5e-e1301a26fdd3_000014,63b07ab5-c53e-4e68-8391-a11c76cd5064,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
