event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e7fd9945-2b65-4c30-854e-3910e57b153d_000001,099b1833-d272-48a2-99ef-02a6643d6ed2,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000002,418d000f-f7a6-4292-b8e5-901297f6830a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000003,4c189012-9970-48f2-8560-b39367b5e866,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000004,7d534a22-b1de-4f0e-8ba6-3cb2638e62b4,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000005,476873ae-49b2-4b77-901e-0cdc2468cc0a,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000006,78ef3270-ba31-4dc9-976e-60547a9e4c84,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000007,141b9f2f-c617-4291-bb3b-e6f5bcf42d0e,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000008,88ab8c9a-41ee-4b6b-a6dc-d621f646de14,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000009,e2648754-bd50-4dce-8783-95475c5afa71,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000010,259ff475-de96-46cd-b9bf-325353b40a7b,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000011,382bad43-facb-410b-bc0f-0d5420971833,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000012,085c1a28-a87f-49ef-806f-e4ecf5d1e059,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000013,66e1a8ad-dfeb-4e1b-80be-cafa1f4d98dc,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000014,446dde6c-22e8-442f-b676-d969c9c3ef99,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
e7fd9945-2b65-4c30-854e-3910e57b153d_000015,255f85ba-b859-425b-beaa-ebb13dd6cadf,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
