event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000001,01f5f0cd-88de-44c4-825a-ad2cb9b09656,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000002,17e9a592-6a30-4231-8049-5f3474bc2bdf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000003,a235bff4-a629-4c34-9db3-0f55e011517d,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000004,4201365e-70f3-423a-8818-1de714c3709a,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000005,bc62de99-2472-4188-a312-5b8fc7ee821a,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000006,00d00830-7874-4967-b42a-1d3ba84349d7,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000007,63d45ee0-13eb-4211-baa4-85e26b29d800,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000008,ffe5514a-b145-4a29-9481-7254b5fb294c,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000009,eaf052d4-4ee9-457a-bdb9-b9adf7d8f05d,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000010,97be1e10-2ac5-4c10-a374-031250086752,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000011,e4d3249d-07e9-42dd-af4d-bfca7b34017e,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
e839d087-1a5c-44eb-b0a8-fff6eda3be2e_000012,61e5de45-d9a6-4197-bf07-ca68164e512a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
