event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000001,88bf418c-35dc-4f20-8fbb-802fae74a871,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000002,34547122-613a-42c4-9a7a-df9177744905,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000003,5de99596-232a-4a97-8e90-7fa8167066c2,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000004,df2dfaf8-15ab-4a21-b386-db517eca8e96,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000005,d29e3de6-63fe-4c89-8a5d-70a9eb19cffa,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000006,202101a6-1ff5-452f-8df7-61acf81d53ac,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000007,5ee59d15-a3da-438d-819e-277798e0b507,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000008,6a5adfd7-a5e6-4fcd-ada6-34d4fb20ed09,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000009,c7d0e14c-21c1-41ae-b160-76b9565d560e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000010,082c1a5a-661d-49c6-832f-ca71c3bd0f3a,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000011,30b445ae-7522-4e03-9a39-4b84bf39f8cb,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000012,1e5e5779-64f6-4b0a-9904-7c233526c9dc,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000013,16a5fd9b-88bc-439a-8773-cd8a16ae8969,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000014,57615d17-f1d4-48c2-bde8-5efcd89e65cf,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000015,a52bad79-95ef-488c-8dbc-18d15e30dfae,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000016,664de103-55ed-4b40-8c2b-90b27de48f29,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000017,75634a6e-eda8-452a-a204-ccd702bbf929,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000018,e9d80a6d-ca23-457c-b76c-8c00f55304b7,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000019,7955eaf3-5c39-4615-a140-aa6f32c3f1c4,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000020,2b585e1e-da7e-4c19-ab61-f9d611e34140,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000021,9633e9c3-0fe5-4d4b-87b8-ee3fb89c2768,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000022,c3e2b97c-728b-4512-bdae-3fcc86e2dc10,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000023,6ce45b8e-da2c-41a6-b259-3afceb42d65c,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000024,e2c39d37-ae35-45b0-8aa7-def5e2ef7d21,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000025,cd4cbdc6-afc8-43c8-b640-59d21cfeea56,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000026,c11e8dec-7141-4f84-b301-8e9c33fd668d,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000027,f9ee3865-52a9-4186-b91f-8ce926ca7732,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000028,fc68de19-8674-4e06-bac1-90df67ebdc78,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000029,4a7f683d-e6c4-4f22-982d-d80635ad1b10,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000030,3000f156-ddc3-40f8-8f4a-098af52f6de8,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000031,371477a2-53f5-4ee8-83ab-2285e55dacad,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000032,a579f7b1-998b-4052-a5c3-ed4d691a8b77,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000033,a3f4a2f1-4e70-4a0f-837a-210ac7baa558,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000034,6162d495-f33f-4915-8a92-0b318617969a,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000035,d5300297-60ba-41b2-9f63-9ca9ef97ff90,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000036,86e830e6-a41a-4b23-87ba-bfc0f7387e63,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000037,4b6c8eef-a830-4aeb-81bd-4ccbd2308186,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000038,3814ea06-043a-41a4-bd5e-0e8365bbac33,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000039,ef94c51d-60e4-4be2-8ff4-b1487a4748f1,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000040,8d7c7824-26fc-4486-b5d0-1cd4d9751a9f,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000041,0c261907-108b-41c4-b5c7-21dd3bb40ad4,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000042,345689d3-779f-470f-8083-df7953c8ba4f,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000043,4c3f3eaa-2db9-4572-a471-9c0fa7fabdd1,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000044,b78b6780-ff43-4fc3-acab-aae717586989,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000045,e6f42e4b-456f-46dd-87aa-e0586f23941a,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000046,ab277cd8-f706-4ba7-9bf9-6ca72d1c0aa1,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000047,5379bc40-b3b6-4bb6-86eb-2544fb668383,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000048,3d7125f5-024d-4cf5-aaf5-1e837b5b253d,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000049,cc0217de-405f-4048-b57e-d27262f50b13,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000050,a31117ab-5d42-4e07-84a4-3c90adbbe17f,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000051,63efd196-3cf3-4737-9e8b-f84ecea4db9e,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000052,4bf4df65-81c0-49f5-b02f-176063dae5dc,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000053,0874a3c0-aec6-44cd-8a2e-41189d49331a,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000054,3379f8e8-2c18-494e-8e2b-e86dad23fc25,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000055,93f73ea0-9bd6-4f16-ab1f-299fae6b5453,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000056,733bd48d-9b48-490c-be54-e75f012db38f,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
e8d64ec3-c40a-4672-8637-ecdd148f9d89_000057,1ac58de8-42de-4e71-baea-1dcfd2215758,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
