event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000001,ffdd8cf1-92f5-4747-b746-7d6d3ab98824,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000002,5288cf51-31ca-4b13-81d3-d8c0fe4e2429,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000003,67f8bcde-173f-4020-a1f3-848ad2c29e5f,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000004,741d1f8b-763a-4654-8fec-f49d84d7c405,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000005,56f894c2-0c10-4adf-b29e-94f30c60ee68,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000006,fc3d3f39-b076-49d0-9409-f6abc25b6ac2,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000007,7f3e6d9d-cde7-4694-a048-f934fad38386,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000008,395e219a-d951-4ac6-a43c-4a08c9731742,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000009,2c73be59-54de-46c1-ae0f-285bef1fbbe4,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000010,0b6d292d-d053-4768-8ffb-d19a63be0e4e,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000011,6181f481-7623-4896-91ec-e56877019843,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000012,173ccd00-9ae9-444b-a03b-45647fa213c6,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000013,2af906c1-05d6-4e80-8337-4f6492b3f0db,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000014,cd1a4793-c185-40e6-ad96-84a133135fd6,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000015,6edeb2cc-b843-4e3c-8efb-ec801e9dbc30,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000016,4af0d39c-f902-472b-b98a-728a7793e189,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
ea9383e2-1ae4-4e93-a3c2-4aeb57ae175a_000017,47c46acb-79e2-49bb-a098-1602c1bb8382,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
