event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000001,d3bfc657-5346-44f2-ab40-7612c8b7af9b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000002,27d1a45b-dbd5-434d-a94f-8be8ccb9991e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000003,b1f43c92-cb1b-4928-842d-4e632d13a7e6,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000004,0d9284ad-44ca-450a-b5e2-5eb9375e1dd3,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000005,eee830d8-0564-41c5-a03b-ad0092485b3b,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000006,04408e4f-e938-455b-aba2-8e9c87e14703,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000007,c0933b1c-cacd-436d-8885-c5cb01867d64,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000008,3cd98b66-fe1f-440e-b9d0-0d4bed93f0f8,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000009,636bf494-f1d9-4eb5-a06b-156fc77d3b02,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000010,aa4fb9a9-9398-4247-8ee8-19ae07d40d01,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000011,1c83e3f5-74bf-4b75-afa7-de58d917710a,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000012,c2f135ed-d072-4bb5-900a-14f3baaa4429,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000013,d671a683-a7c9-489a-a364-4f7a80b3f8aa,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000014,4a0c631a-86af-4ce1-94c5-5cd8a1ba93a6,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000015,1e984256-1e6d-44fb-a657-c792413a914a,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000016,a7148242-9618-428c-ac43-8a450f01910e,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000017,67fdb273-3f74-4a2f-9644-ef2f9b840950,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000018,aef38aa8-f082-4ff1-a8f1-cee3a228b73f,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000019,1f8dd703-3634-4b52-b3d2-37a5bd02e5c3,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000020,34209a70-19f7-4ed0-b3b9-5265000ac08b,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000021,893104aa-243f-4d50-b25e-8ab91cc102c8,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000022,3b36d6e4-8e0b-48df-a971-0d24ae7cbba0,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000023,7b8548fd-c3b3-4070-a185-a6d00585716d,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000024,0d9e556d-c381-4ecd-9919-9d2b087248fa,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000025,79db0c9e-17a8-451d-b3f6-8c225651f20d,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000026,5f96c522-600e-444d-986b-d469299503c6,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000027,aa98b9c0-5774-494f-9ae1-40d8565d1d1b,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000028,dceb1e4e-140f-4622-b396-350eaeb1cb69,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000029,a1e32ab7-c372-4ea2-bda4-915b61f80368,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000030,85888f0f-08ff-4868-85f2-421ec797aaea,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000031,fdd2c604-1700-474a-b364-d3e2df8f7104,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000032,5f9e871c-ded3-4b0e-8938-a63406ed9dc9,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000033,433df117-04c0-4aad-a8f4-187ed42e1597,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000034,a00ee7e7-661c-405f-ba16-2f0ce8134be2,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000035,936f1e24-5de9-4769-a181-f0a7dce07d04,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000036,2d06bf66-2ad4-44c8-807c-9ea397f82a44,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000037,ca2c7061-03fc-4951-bc6f-e0675e485297,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000038,ad179ba6-5511-415c-b0c9-e86cada285ff,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000039,7e334799-5f80-4410-be1e-d8cb06a83aa8,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000040,ffbb042d-8f3d-480f-985a-a234244f7c5a,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000041,6a9e2926-6443-466c-a993-79bdad7104dc,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000042,de118e12-67a1-48ec-abb2-7f02d52d8b29,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000043,32e13bbc-b526-4412-a8ff-e172bcf72a93,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000044,766134f0-dcf9-454d-8972-6781df407f03,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000045,7a9611be-4daa-4aec-87b3-cf6894f98fff,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000046,7e024fb8-cac0-4a15-ba81-94f397512568,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000047,001ebea4-8e8a-4005-91d2-478c100c6c35,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000048,06e8caba-5476-4573-883b-e42967fad27c,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000049,122a559f-9784-4fdd-9e7d-5fd2e289e857,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000050,67994fad-cd6b-45bb-904d-dd3f12f382d5,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000051,340fafd8-056a-4c5e-9f93-0989a3edef87,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000052,eb665bd4-3483-43e2-9d02-66d2044093fc,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000053,1cfb5aa4-0f5c-49b8-847e-ce934d7a3137,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000054,7c14b3ba-5fe6-43a3-a2a9-812c15824abd,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000055,9623bfbb-eb07-44e0-b59c-0006f0ba2b56,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000056,7a48eafc-6cf4-456c-8678-8e2b8f00ba40,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000057,80e36e55-85ac-4627-ab5e-993631346a10,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000058,266b952b-43d2-409c-a08f-266023347092,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000059,e171ced6-476b-4335-b51a-0cf88b5dce2c,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000060,f570c04c-06a3-4663-ba50-604b24ef6d99,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000061,09d9ab0c-6291-4d24-9666-b82ea6b76b26,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000062,49919ce9-0c51-4d82-82b4-ad6e086f4537,promotion,2025-4,7,7,A,Sales,Helsinki,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000063,e89eec82-815d-41cd-abd9-360530521c68,promotion,2025-4,8,8,A,Consultant,Copenhagen,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000064,6b871144-0699-4550-a3ff-61a784902709,promotion,2025-4,7,7,A,Recruitment,Zurich,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000065,5a25b30c-a5b6-47e1-8744-5046c2082429,promotion,2025-4,18,9,AC,Consultant,Frankfurt,AC,C,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000066,953d5917-3a9e-4944-bcfe-69d8ad99d070,promotion,2025-4,6,6,A,Sales,Amsterdam,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000067,df3c7711-42e0-4af8-b4d4-52acc65e1cc9,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000068,d173f868-6a03-4ae0-b2b2-229b393e9df9,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000069,80ead895-c27b-4972-9b31-11339eb0b88e,promotion,2025-7,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000070,0d93a7c8-9e40-475f-a04b-a8d24572c6ad,promotion,2025-7,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000071,d3be69b7-0891-4e60-b3b7-d86f133c130d,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000072,84c43f5f-6296-4475-ae43-cc107cc5a7b7,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000073,6089db52-8ea5-448e-a384-8ed4382f96eb,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000074,d129a3f2-a035-42b4-ba85-30ede91b2539,promotion,2025-7,10,6,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000075,8b3a7d10-5da4-4f69-9619-8d9893623e62,promotion,2025-7,10,7,A,Consultant,Stockholm,A,AC,CAT6,,,
f199d7e8-6cb1-4b8b-94cd-93202adda41b_000076,953d1b28-fa0b-4bdb-9b87-97ec6c47dccc,promotion,2025-7,9,7,A,Consultant,Stockholm,A,AC,CAT6,,,
