event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000001,9ba8749f-824c-42a8-81b6-c37b9e8de37c,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000002,d7a01415-8a45-439a-8e0e-d7f60cb85763,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000003,9724465f-588b-431b-a130-a0f19e31d540,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000004,739bb83d-faab-4514-90e8-dc066f5ca835,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000005,9516be26-12b6-428f-8184-302470f9c378,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000006,c7b603f0-6dd3-4fba-81c5-e106ef1625ff,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000007,8434da3f-a90c-47ed-9852-09b75621464f,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000008,a2e05fb9-5b5f-484c-9f82-c42c6b42fb5f,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000009,0f0b84c2-b538-4dd5-9a6f-a55fb1d25c48,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000010,12c0264e-4fea-4caa-89d3-bb665544db9e,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000011,c78af034-d2bd-4d0c-a7eb-350e7c7b00f8,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000012,7887d857-84c3-4058-bc8a-ccf743805f88,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
f1dee7b0-6b86-48a5-b05b-11a7fe7d8827_000013,2e3567ef-f350-484c-ad43-4480ad4d485e,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
