event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
f329bd21-7502-41b1-bf10-9861c1e9386b_000001,50aeca7a-f0d0-46a2-b540-151ac4333388,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000002,e64e4870-59ee-493c-bdbf-ec4a2c3ec642,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000003,d38bcc76-91b9-4729-92f2-44d62c244a20,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000004,12f43fc7-ac75-4c3d-a8c9-31f08e7b9a27,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000005,208fec4f-3ac3-4428-a284-38b6f159bcd9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000006,85ed3811-2974-4e5d-a3ca-66e15e5b305c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000007,ee34679b-7bd7-4180-8b45-766a663edce8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000008,9acd5531-7bd6-410b-874b-d63ccf1b32e6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000009,8c0e68de-4581-4488-b743-eb884952975a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000010,7f6e49aa-c6bb-4a25-a171-e5c8967b22cd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000011,cc3cb360-22c8-4a88-ad0e-0e73ce96f2dc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000012,c6a653be-7800-40ba-a5a8-a953b46b877a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000013,45d10df4-0810-4adf-922c-cc1d723c4c04,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000014,03878c76-9614-49f4-a94d-1a933550fcbe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000015,297e696e-5afa-4c18-8e09-958b313e39ad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000016,90da4c8e-1fcb-4d3c-927c-5accbd3ed8af,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000017,1c241776-b5d3-4d11-9a52-82e9b791c2bb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000018,7017705e-2663-4951-93d9-a9c069a2bd29,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f329bd21-7502-41b1-bf10-9861c1e9386b_000019,71706287-83d7-4ef2-99f5-533f9e15c097,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
