event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
f7bd7564-2ab8-49e8-87e2-827108226af4_000001,2ff64f99-623b-48b2-b40f-1f00790221c9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000002,dfcd6c5a-2219-4b86-8a44-f217363fa931,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000003,029d483a-951f-4e79-a939-756526f38c98,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000004,af097730-9047-4c96-9c96-6ef8c374f9db,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000005,3023c8a3-b8b2-4aaf-a897-266057f0c28c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000006,bb909d01-e534-48e9-ae9a-ab409988c2b1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000007,eea3a3d6-682e-4e1e-a63b-03aaa54fc8fd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000008,8fd9909f-10fa-4ba2-bc67-60cbedd73f5d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000009,8525c99c-6265-485c-90ff-86022ecdeaaa,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000010,fa8416c6-3978-49e9-8b3a-f77fbf3d298b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000011,4b31c3c5-b588-410f-84c5-d76039a9cf6d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000012,87a4595c-097e-4446-9739-4a572ef3dc1f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000013,65332fc8-981a-4d94-bb87-3234ed180b34,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000014,8c974958-be3b-4f98-9017-36195d706f7f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000015,2e0c06cd-da88-4712-85a1-efc56623ce87,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000016,65b3aede-57d4-4510-81ca-7fae30c8a04f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000017,282c1da5-b3d6-4a41-ae4d-4697b75d7d75,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000018,02e1301b-2ec6-43e1-b248-f1fe8b586473,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000019,50b0d2df-22fd-4ce2-8ef5-808ab8997eff,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000020,87627e21-dfad-40ac-9c54-e152722cf0b2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000021,c8196cc4-f16d-4ee1-81fc-5fc2431fb909,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000022,ff907ae0-919c-4856-8a8e-a80b5be298af,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000023,50992fbe-e70d-49da-ad7d-0b576a96b90c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000024,d85e2826-94a2-4123-a3f9-899d7eef50dd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000025,76f17f2d-a2ae-4074-ae89-6fe504a5c0e7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000026,2543a9d9-eaf5-4070-b140-ce01515429c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000027,22084f53-003a-4c9a-b377-940192dde5e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000028,504100f3-0997-4ac0-aa21-1675bb58163a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000029,d4e9a5ba-0a6f-4bca-90df-7205d61d2bbe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000030,864cad9a-5389-4c24-ba65-679eb46dbd88,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000031,f5aa623d-cfb5-4882-9683-68020c05db9a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000032,6ae12f5b-e112-45c9-b5b3-02bd09231462,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000033,36c2d02f-6391-44f9-bba2-080c8cf936a2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000034,524f0c52-74ad-4169-9d5c-6609e6dee596,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000035,fe1b8225-c74c-42d5-a1a5-a3d2c6fcaefe,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000036,9babb177-e98f-4ac5-b04d-89d0662b7f1b,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000037,f7a90b03-f5d9-4d92-b449-4e573d9f7b15,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000038,b3461c8e-e869-4a96-a686-d54e8325427b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000039,299b7008-077f-417f-ac42-7dc48203ffb5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000040,7544e25e-b63e-420b-a525-7e32b9ebd2b1,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000041,19e14492-dd38-479c-a5f6-026e9c3f30cc,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000042,3698f7f7-f2db-49f0-ab13-f027a3d7a8f0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000043,293b810f-d2ce-4184-83b4-870edd1557b0,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000044,319ba3c2-03aa-461b-ab29-a75ba03a6a58,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000045,f42dde4e-f4f9-4c10-9c18-1e845d4a161a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000046,81b45caa-710a-47de-be4b-c08abbc4251c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000047,260c5ddd-642e-4ae1-a10e-34d481df9ad2,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000048,43bec39c-7c6f-4664-a0db-3bcc1943c450,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000049,a3d16a26-3d05-40bc-93e0-5f5a5a105173,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000050,ff3a8ce9-d49e-4df2-995a-30e5f7127636,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000051,9be3077b-6072-4755-8bf8-64adf1a378e1,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000052,0c3f2f5d-6303-43fe-b3d3-f769aa610140,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000053,778e547e-0468-457f-8e43-c01e18a79f59,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000054,fd7486d0-390f-4428-9038-809377a9f4d5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000055,7e9a4e58-d321-4d91-b85a-b1e35f37e964,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000056,455fce63-db61-4b67-bb94-6b9575498697,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000057,175c40b6-add2-4ca1-9426-606495102400,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000058,e4a7d90e-37dc-4af1-af01-dc2a46e0d170,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000059,88d49216-2d32-484b-8033-18b6b0f84a46,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
f7bd7564-2ab8-49e8-87e2-827108226af4_000060,114e7a6e-33f5-41f2-8036-af975ab0d7df,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
