event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000001,5e34313e-50e7-47b8-a4e6-f01bb1ee27d3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000002,e976b28b-c989-4df5-81bb-9ba60fdaf5ac,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000003,0f02bc42-56dc-47fe-a1bf-6d21fd5ffc2e,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000004,460e82ee-bf33-4712-a482-3c248239cb1a,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000005,6e5f6bb5-40e0-4554-9988-ff55095870c9,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000006,728aa5e2-bc44-4c19-aafb-1076e71419ca,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000007,7c50444a-7537-449d-8e6a-554bf0f01c07,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000008,a2a88f83-c44c-4872-8435-2b7d4f3ac07f,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000009,9cff05c2-e1e2-4537-80b0-845fb170997e,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000010,35837a30-c9b0-4bb0-8abf-d72dc38e6aa6,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000011,9a9eacb1-35b4-4ab2-9317-bf3d08b6825f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
fbe03163-07fa-4d6d-8f30-5d81fc545b87_000012,767fcf91-59ae-4fda-bcf3-2541087e8668,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
