event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000001,67824276-848e-4822-89e8-32a21f9ca14c,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000002,e251270a-6d3c-4fe0-bfc1-e82d90c14b78,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000003,fb785500-1612-402c-8e98-1a127f1c141a,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000004,f9d93839-7e3a-42a6-b3b5-6152c0a55f61,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000005,7b01c7b4-1ad9-4d63-bc8a-bc48c1c12eee,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000006,4a5e31c5-d1aa-45b0-b800-d09a6168f5b8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000007,ea094919-6547-4da4-b0be-77b0ec1f3feb,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000008,53b56d10-8567-4771-bba6-9050f0ce9980,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000009,adbdeb5e-aa94-42e0-b475-39c08ae63e47,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000010,10a7320d-73a2-42f5-b3a3-d760d7a2e825,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000011,12d3b546-e369-4068-884f-077fa3756d19,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000012,c8a9b4a5-9ce3-4f22-a5bc-6bad215654c8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
fd6f1ef2-1ba9-4db9-9a63-e32893de4188_000013,1ab6e5d1-50d4-4a90-95a3-0664825bc4d9,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
