event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000001,8c19be98-f187-42d6-981d-26a451793c99,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000002,99a06132-f55b-4790-ba03-16dc327bf3e2,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000003,63f1f2e7-e68c-4e8d-8f73-b3a3e3e2ce05,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000004,6ef2e5d8-ec5e-429d-9611-f9a4d6600334,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000005,9bc53420-e636-4090-a163-ec07578a8336,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000006,2e269499-6187-4ed9-8584-4ea368724636,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000007,d039a9a7-6b58-4597-96c0-76b3100ebe0a,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000008,7e203e8f-f670-4395-aa6a-052c49b95ddb,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000009,d2adad75-94eb-459b-acbf-6380d14020d2,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000010,7e9d8b32-0949-47d2-9ca2-71777c31d551,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000011,838a92f8-68d0-4040-8b56-25242a6064e9,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000012,a21cb2bd-e5d8-4676-9287-713137ad2315,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000013,9ad97753-5112-4940-b926-ca1221304172,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000014,86bb9d2e-fc55-4514-836e-a87bda4976fc,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
fe9a69e3-16d0-41b1-a5e8-6d6c934a88e1_000015,2a6459f7-6d40-408a-8ade-aa2848387628,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
