event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000001,ad6a2f83-dbc0-4f8f-b1da-5f7a1b33fb8a,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000002,93dfae5c-9965-4444-acb2-7e005ad7e092,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000003,e758912c-ebb4-464c-80a5-a6ab7ef2284e,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000004,8acfa0ac-ac08-4ab7-b7a0-e0a11a7175c0,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000005,bdaaa21e-414b-4b73-9097-13b965ddb551,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000006,fb6bffb6-4a96-48e3-b7a2-dccfae39d68f,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000007,1b4b9933-04b6-4892-81e0-ae67f05ba459,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000008,0f7bcce6-009e-4e18-a51b-179a96dedd5e,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000009,4549417d-1c2d-471a-a577-09a5d4c61d95,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000010,9960b8c7-00f1-4756-9dd8-9722e4495e22,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000011,c098e813-d4ea-44ff-ba19-952b25046425,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000012,6b0e757c-2648-454c-ac25-4a48e26f8fd2,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000013,a1be24ab-bd37-4bdc-824a-6d9cebb981b6,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000014,90659d53-a42e-4f00-b1f1-22d0216f85ed,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000015,1160cea0-2c9b-4d74-b1f1-0c0ddf7d659e,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000016,63c880ab-f321-4cac-a694-7c367d655e19,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000017,dc4375c2-e9d3-43ec-a6d1-5df5bdaf5626,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
ff0bd9d8-7a0e-4bc9-b8b0-60edd2ebfd07_000018,c58f3f1b-6455-45c4-99e9-ba815573853b,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
