event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000001,8c7dc2e0-6242-40c8-bf55-8ff75864095e,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000002,51495075-0bc8-4e36-8bd9-44e08bad4442,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000003,8e02c168-1d57-45cf-b5dd-7f71e3ddf757,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000004,00deb45d-7b16-4c9a-8bcd-f2e5a697f602,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000005,dfa8e310-f294-4946-a18b-66460d207e0f,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000006,15d7c277-3ad8-44eb-9655-66e87cfb7fc8,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000007,a5446b44-25e5-408c-80e1-9fb927753aad,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000008,d703e414-b04e-40cd-991a-04606e7fb1ed,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000009,b07fbd23-eb63-4d66-8b16-3c364a60939b,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000010,e00af4bc-c51a-44e1-8605-e4ac6d7f49ef,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
ff168dd9-357c-4dc9-be43-eb41f84a1e2a_000011,a81ffe04-3c86-4ca8-b167-2899147c7748,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
